location_name,daerah_pencarian,jam_buka,jam_tutup,tags
Palalangon Park,"Palalangon Park, Bandung, Jawa Barat",,,
Taman Love Soreang,"Taman Love Soreang, Bandung, Jawa Barat",,,
Victory Waterpark Soreang,"Victory Waterpark Soreang, Bandung, Jawa Barat",,,
Pesona Nirwana Waterpark,"Pesona Nirwana Waterpark, Bandung, Jawa Barat",,,
Taman Wisata Alam Cimanggu,"Taman Wisata Alam Cimanggu, Bandung, Jawa Barat",,,
Southland Camp Ciwidey,"Southland Camp Ciwidey, Bandung, Jawa Barat",,,
Ecopark Curug Tilu Ciwidey,"Ecopark Curug Tilu Ciwidey, Bandung, Jawa Barat",,,
Kebun Teh Rancabali,"Kebun Teh Rancabali, Bandung, Jawa Barat",,,
Perkebunan Teh Malabar,"Perkebunan Teh Malabar, Bandung, Jawa Barat",,,
Kampung Singkur,"Kampung Singkur, Bandung, Jawa Barat",,,
Curug Panganten,"Curug Panganten, Bandung, Jawa Barat",,,
Gunung Artapela,"Gunung Artapela, Bandung, Jawa Barat",,,
Hutan Pinus Rahong,"Hutan Pinus Rahong, Bandung, Jawa Barat",,,
Situ Ninah (Situ Datar),"Situ Ninah (Situ Datar), Bandung, Jawa Barat",,,
Penangkaran Rusa Kertamanah,"Penangkaran Rusa Kertamanah, Bandung, Jawa Barat",,,
Kawah Wayang,"Kawah Wayang, Bandung, Jawa Barat",,,
Pemandian Air Panas Cibolang,"Pemandian Air Panas Cibolang, Bandung, Jawa Barat",,,
Rumah Putih Cukul,"Rumah Putih Cukul, Bandung, Jawa Barat",,,
Kampung Adat Cikondang,"Kampung Adat Cikondang, Bandung, Jawa Barat",,,
Java Preanger Gunung Tilu,"Java Preanger Gunung Tilu, Bandung, Jawa Barat",,,
Malabar Mountain Coffee Shop & Eatery,"Malabar Mountain Coffee Shop & Eatery, Bandung, Jawa Barat",,,
Muara Rahong Hills,"Muara Rahong Hills, Bandung, Jawa Barat",,,
Cicalengka Dreamland,"Cicalengka Dreamland, Bandung, Jawa Barat",,,
Curug Cinulang,"Curug Cinulang, Bandung, Jawa Barat",,,
Dago Bakery Punclut,"Dago Bakery Punclut, Bandung, Jawa Barat",,,
Tafso Barn,"Tafso Barn, Bandung, Jawa Barat",,,
D'Dieuland,"D'Dieuland, Bandung, Jawa Barat",,,
Sudut Pandang Bandung,"Sudut Pandang Bandung, Bandung, Jawa Barat",,,
Cakrawala Nature Sparkling Restaurant,"Cakrawala Nature Sparkling Restaurant, Bandung, Jawa Barat",,,
Lereng Anteng Panoramic Coffee,"Lereng Anteng Panoramic Coffee, Bandung, Jawa Barat",,,
Taman Kupu-Kupu Cihanjuang,"Taman Kupu-Kupu Cihanjuang, Bandung, Jawa Barat",,,
Padepokan Dayang Sumbi,"Padepokan Dayang Sumbi, Bandung, Jawa Barat",,,
Wahoo Waterworld,"Wahoo Waterworld, Bandung, Jawa Barat",,,
De'Ranch Lembang,"De'Ranch Lembang, Bandung, Jawa Barat",,,
Mini Mania Lembang,"Mini Mania Lembang, Bandung, Jawa Barat",,,
Cimory Dairyland Lembang,"Cimory Dairyland Lembang, Bandung, Jawa Barat",,,
Noah's Park Lembang,"Noah's Park Lembang, Bandung, Jawa Barat",,,
Pine Forest Camp Lembang,"Pine Forest Camp Lembang, Bandung, Jawa Barat",,,
Imah Seniman Lembang,"Imah Seniman Lembang, Bandung, Jawa Barat",,,
Gunung Batu Lembang,"Gunung Batu Lembang, Bandung, Jawa Barat",,,
Ciwangun Indah Camp,"Ciwangun Indah Camp, Bandung, Jawa Barat",,,
Indiana Camp Lembang,"Indiana Camp Lembang, Bandung, Jawa Barat",,,
Curug Layung,"Curug Layung, Bandung, Jawa Barat",,,
Curug Bugbrug,"Curug Bugbrug, Bandung, Jawa Barat",,,
Curug Aseupan,"Curug Aseupan, Bandung, Jawa Barat",,,
Curug Anom,"Curug Anom, Bandung, Jawa Barat",,,
Curug Panyandaan,"Curug Panyandaan, Bandung, Jawa Barat",,,
Curug Ngebul Gununghalu,"Curug Ngebul Gununghalu, Bandung, Jawa Barat",,,
Sanghyang Poek,"Sanghyang Poek, Bandung, Jawa Barat",,,
Sanghyang Tikoro,"Sanghyang Tikoro, Bandung, Jawa Barat",,,
Sungai Cikahuripan Green Canyon Saguling,"Sungai Cikahuripan Green Canyon Saguling, Bandung, Jawa Barat",,,
Curug Walanda Citatah,"Curug Walanda Citatah, Bandung, Jawa Barat",,,
Curug Nyalangkadar,"Curug Nyalangkadar, Bandung, Jawa Barat",,,
Tebing Gunung Hawu,"Tebing Gunung Hawu, Bandung, Jawa Barat",,,
Taman Buru Gunung Masigit Kareumbi,"Taman Buru Gunung Masigit Kareumbi, Bandung, Jawa Barat",,,
Wisata Batu Kuda,"Wisata Batu Kuda, Bandung, Jawa Barat",,,
Curug Batu Templek,"Curug Batu Templek, Bandung, Jawa Barat",,,
Curug Cilengkrang,"Curug Cilengkrang, Bandung, Jawa Barat",,,
Masjid Raya Al-Jabbar,"Masjid Raya Al-Jabbar, Bandung, Jawa Barat",,,
Teras Sunda Cibiru,"Teras Sunda Cibiru, Bandung, Jawa Barat",,,
Lapangan Gasibu,"Lapangan Gasibu, Bandung, Jawa Barat",,,
Monumen Perjuangan Rakyat Jawa Barat,"Monumen Perjuangan Rakyat Jawa Barat, Bandung, Jawa Barat",,,
Monumen Bandung Lautan Api,"Monumen Bandung Lautan Api, Bandung, Jawa Barat",,,
Museum Kota Bandung,"Museum Kota Bandung, Bandung, Jawa Barat",,,
Museum Mandala Wangsit Siliwangi,"Museum Mandala Wangsit Siliwangi, Bandung, Jawa Barat",,,
Taman Sejarah Bandung,"Taman Sejarah Bandung, Bandung, Jawa Barat",,,
Taman Vanda,"Taman Vanda, Bandung, Jawa Barat",,,
Taman Maluku,"Taman Maluku, Bandung, Jawa Barat",,,
Taman Cibeunying,"Taman Cibeunying, Bandung, Jawa Barat",,,
Taman Panatayuda,"Taman Panatayuda, Bandung, Jawa Barat",,,
Taman Pramuka Bandung,"Taman Pramuka Bandung, Bandung, Jawa Barat",,,
Panama Park 825,"Panama Park 825, Bandung, Jawa Barat",,,
Karang Setra Waterland,"Karang Setra Waterland, Bandung, Jawa Barat",,,
Gedung Indonesia Menggugat,"Gedung Indonesia Menggugat, Bandung, Jawa Barat",,,
Museum Inggit Garnasih,"Museum Inggit Garnasih, Bandung, Jawa Barat",,,
Nimo Jungle Hot Spring,"Nimo Jungle Hot Spring, Bandung, Jawa Barat",,,
Glamping Legok Kondang,"Glamping Legok Kondang, Bandung, Jawa Barat",,,
Nuansa Riung Gunung,"Nuansa Riung Gunung, Bandung, Jawa Barat",,,
Kebun Strawberry Emte Highland Resort,"Kebun Strawberry Emte Highland Resort, Bandung, Jawa Barat",,,
Sungai Palayangan Rafting,"Sungai Palayangan Rafting, Bandung, Jawa Barat",,,
Curug Ceret Pangalengan,"Curug Ceret Pangalengan, Bandung, Jawa Barat",,,
Gunung Nini Pangalengan,"Gunung Nini Pangalengan, Bandung, Jawa Barat",,,
Puncak Mega Gunung Puntang,"Puncak Mega Gunung Puntang, Bandung, Jawa Barat",,,
Tanjung Duriat,"Tanjung Duriat, Bandung, Jawa Barat",,,
Puncak Damar Jatigede,"Puncak Damar Jatigede, Bandung, Jawa Barat",,,
Desa Wisata Buricak Burinong,"Desa Wisata Buricak Burinong, Bandung, Jawa Barat",,,
Panenjoan Jatigede,"Panenjoan Jatigede, Bandung, Jawa Barat",,,
Pangjugjugan Sumedang,"Pangjugjugan Sumedang, Bandung, Jawa Barat",,,
