"title","url","stars","name","reviewUrl","text"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","Ryan Andriansyah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNNdnZLT1pREAE!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICMvvKOZQ%7C%7C?hl=id","Tempat & suasana baru
Ada sarana panggung utk mengexplor kemampuan kebetulan anak sy ikut acara jaipongan yg di adakan oleh pelatih seni"
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Yorika Destyanto","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pacVgxcHdNMnB0V0UxUldXTldTR3B6WDNOVFFrRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOjZqX1pwM2ptWE1RWWNWSGpzX3NTQkE%7C%7C?hl=id","Makanan enak udara sejuk"
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","3","Joey Tribiani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21VM05FNUZYM2wzVDBkME9FMW1jMVJKU0VOb1NFRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOmU3NE5FX3l3T0d0OE1mc1RJSENoSEE%7C%7C?hl=id","Perlu pembaharuan bagi tempatnya yang terbilang sudah cukup lama. Ada beberapa bagian seperti kamar kayu dan lainnya sudah cukup usang.

Aroma yang suka juga tidak terlalu enak jadi lebih baik ada renovasi yang perlu dilakukan. Perlu pembaharuan bagi tempatnya yang terbilang sudah cukup lama. Ada beberapa bagian seperti kamar kayu dan lainnya sudah cukup usang.

Aroma yang suka juga tidak terlalu enak jadi lebih baik ada renovasi yang perlu dilakukan."
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","nur laela","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21KcFUyb3paRWxET0ZSalQyUTBRMFEwYlU1QmRuYxAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOmJpU2ozZElDOFRjT2Q0Q0Q0bU5Bdnc%7C%7C?hl=id",
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","1","Rasim sasmita Sasmita","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21KZmNtYzRablJ0YTI5dE4yOU9heTAzWmtWRVlrRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOmJfcmc4ZnRta29tN29Oay03ZkVEYkE%7C%7C?hl=id",
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Muhammad Hafiz Alkautsar","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xCNVVtOUlkMDAzWW5Kb04xWjFVV2R6TjBGSGVrRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOlB5Um9Id003YnJoN1Z1UWdzN0FHekE%7C%7C?hl=id",
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Sam My","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wcFNrdFJUbGRSYUdFdE5XOW5Tamw2TVhoRFRGRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOnppSktRTldRaGEtNW9nSjl6MXhDTFE%7C%7C?hl=id","Tempat nya bagus asri , dan banyak permainan utk anak dan dewasa"
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Arviyani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tzeVNVOVNaMTlLTUVsQ1gwOVBVRWhRT0ZaRlFsRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOksySU9SZ19KMElCX09PUEhQOFZFQlE%7C%7C?hl=id","Bagus adem dan bersih,suasananya bikin tenang..
Pas malem berkabut,dan banyak pilihan villa buat menginap.."
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Tiara Mirzetta","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kNFgwNVdhR2hLZWswMWVrNVVkMU5xWVZWUllVRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOmd4X05WaGhKek01ek5Ud1NqYVVRYUE%7C%7C?hl=id",
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Don Ulul Albab","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21ZMU9VdERaV3hzZG1Oek16UllVR3RKZURkM05XYxAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOmY1OUtDZWxsdmNzMzRYUGtJeDd3NWc%7C%7C?hl=id",
