"title","name","reviewerId","stars","text","publishedAtDate","originalLanguage","isLocalGuide","likesCount","reviewerNumberOfReviews","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewImageUrls/41","reviewImageUrls/42","reviewImageUrls/43","reviewImageUrls/44","reviewImageUrls/45","reviewImageUrls/46","reviewImageUrls/47","reviewImageUrls/48","reviewImageUrls/49","responseFromOwnerText","location/lat","location/lng"
"Nu Art Studio","Muhammad Asfihani","101403204169528636849","5",,"2025-08-17T02:03:04.291Z",,"false","0","0","https://lh3.googleusercontent.com/grass-cs/ANxoTn21hijvdNOJrTyMVf7l_Ezq57CEstAthi9Rdq_xlJsgNo2yyx2uOdk0y7U71Ldoaiz44cIEyWtphIm546nshf1EYFtaguByFVb0s9o5K2ch96OYn9jqbRUaZa0S6cWLDIOHSW0d2X3sZz0l=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Muhamad Ridwan","103439424578073240456","5",,"2025-08-17T00:46:38.329Z",,"true","0","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Purdyah Ayu","103345672418878012801","5",,"2025-08-16T04:43:29.338Z",,"true","0","16","https://lh3.googleusercontent.com/grass-cs/ANxoTn1wXMIN_oFXuRsx77PSC_enHHnLPxY5FCpphdrLT1gLVnKCYmz46UIYaYSl8fJ2Qv7ADjodInensODh4xDuEMEyly7Uzv3fn9q3AwBArRuomibSlvUqnictaWBPG1RAmxhnsQnw3lto-KM=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0QsHIwbTJvl-wxT1R1gr9q-IGDhILnSQifDlcUaWxbbDK4aGfSKu2Frbjo2RKy9u7xFbyHDXhz-RaeKezFkxqPHhE16_HD8pNSp3uKJspVoMLTBQ9lAH-nS9M4ssFcQKiERtTLCdyE2vfF=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1aFnQoeK1UHGYjw0_WpDJ3lW7FADvbqIVnbjTAoKqrQpmoWDdoukAJKTKTNjPmUA2b-9KfwgIxH7khCoA6pmf0_RpV-lkizFXdaY-9HGDPxM-TKXo2WQYt1pHwyl9w94wmqE-B-oJINejC=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2DKbAj6ckT9bCy5al9dRXJHzs-mMZDgZ3Z7QKu4aamDBzkkdLqSVcXzuoLMNrGvAW6CjcKm-Gz0bi7yH_UP6Ss5o-J-1Rx3tZIt4nZheim9xzbgkgU0HULDDEdHrsBx3lm5fr9dJ6589Sx=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2JBqOIwNvSMBrKtIo4diIniWqgvaA3Pj70OJ8EobOZBHy2tsw0Mg1338LmQ1U2QE-JuOjWIaCJFNO_BqsGzwom9vrSLdLFOSnA-YZX4vtA9xl9IlvUIFS3NM8zilfrpYMUZzGcw-VUG8w=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2-JMqHUQOBggrGTaooGftQjiTuKQxzfx-sWuzyRtdAdGRWM0xcsHG51y1kjvZSXVPnU7s4-SugelS3d8VKeq6HpfJiB3oUD422ZCtck-VbbtghTtRvSQMGipMSBzpgXjejwSEePbM1HkR_=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1FQSX1sabs5zPpZwxo8-n-jllbicdP_cYvg7Ln9ZIm7t0J__uFrjduxGA-0XKvWTjMT-3CUIMdVHM2KMja4JlhwPbAGeQIKgP3P99lSzJb61i4AZfFXd2Hg9N5nRWkuKKX3WkuzUw48qA=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3wPVVMYqB29dc7piuisuBxS7giry9U0uqXHv0jgGAVCai9j9n7aFUMrql4N5fClj5RKfNbA_fMv8-NluUeYl2tZZxPuAt-mgYqX3LQ957Y6k_K1TJ7R3FoJbzjVvXK7dVKVG3ZEacfO6hm=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Hendra Suryawan","101697739139083647538","5","if you like art and sculpture, this the place you want to be. lots of beautiful neo art. i really like the justice","2025-08-16T02:39:19.031Z","en","true","0","104","https://lh3.googleusercontent.com/grass-cs/ANxoTn2qdtyQFFmlaDGgPX1f3Vqmhv9c4iDwW6dPKukOoWxwB1vWI6gsMz4tmGO8pTI37oSeuUsrYCZqQlrgnPEu-bzsyqsFJfzppbG1F343JHNevE_EMa4af0BPh-GezbWTTBRUibRgP8O_pzyA=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2J59vGa3QiqCfeqNz8L0irhWvV7SmHbpEerZNy7JQ_kUOaQ6jdhnCSf_DE_IDMYk1htG6-K6glbcpHxVP32UASQjVn0Fkb0DR1U2Mhd5V_K6bZoEMQA_-vgkRHwtA2aiEp1yKbU8_-uJ2T=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Selak","116862690949688239939","5",,"2025-08-11T14:01:55.273Z",,"true","0","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Shafira Putri Alivia Rahmat","112741492924519191057","5","Kalau mahasiswa diskon 50 persen lohh","2025-08-11T13:05:48.027Z","id","true","0","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Alitcad Wahyudi","101527503029501363799","5","Great Art collection","2025-08-11T07:48:25.222Z","en","true","0","784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Hijrian Family","103063594984438579748","5","Kesini gara gara nonton banda neira. Sempat lihat sebentar jadi pengen kesini lagi buat menikmati karya karyanya. Perlu diagendakan khsuus","2025-08-10T22:12:22.953Z","id","true","0","198","https://lh3.googleusercontent.com/grass-cs/ANxoTn1tQjuR_dCPdXSv8hbI-qT2ASRxxcmsk23NEz3xRaU8C5Z4nKMnMnRiCGlgp417xadFEHcivzDh6A3pSku1tp6kSTnDH38a2Muz-LtFxYnMu5puO1wWnlHetjyrI1wXmg_BbX_kNvDDNpsI=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Ryan Nugraha","111191883033641053401","5","Keren banget tapi kalo saya saran gunakan guide biar tau apa yang dirasakan pa nyoman saat membuat karya yang ada di sana","2025-08-10T17:03:55.786Z","id","true","0","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Orchid Forest Cikole","Udin Saepuloh","109077962889368945118","5",,"2026-05-20T13:09:33.312Z",,"false","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.7799539","107.6349443"
