location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory,total_ulasan,ulasan_positif,ulasan_negatif,mentions_pemandangan,mentions_harga,mentions_fasilitas,mentions_keluarga,skor_sentimen_persen
LOC-061,Museum Konferensi Asia Afrika,-6.9210729,107.6096452,0,0,Gratis,Tempat Belajar,Tempat edukasi,197,196.0,1.0,85.0,115.0,96.0,81.0,99.5
LOC-062,Museum Pos Indonesia,-6.9020925,107.6198013,0,0,Gratis,Tempat Belajar,Tempat edukasi,191,186.0,5.0,72.0,81.0,58.0,59.0,97.4
LOC-063,Museum Sri Baduga,-6.9377186,107.6035761,5000,5000,Per Orang,Tempat Belajar,Tempat edukasi,194,188.0,6.0,71.0,78.0,57.0,98.0,96.9
LOC-064,Nimo Highland,-7.2203,107.5781,30000,60000,Per Orang,Rekreasi Keluarga,Wisata panorama buatan,0,,,,,,,0.0
LOC-065,Orchid Forest Cikole,-6.7801991,107.6379318,40000,40000,Per Orang,Wisata Alam,Hutan wisata,11,7.0,4.0,2.0,6.0,3.0,3.0,63.6
LOC-066,Pandiga Educreation Sports,-6.8755807,107.5554364,30000,35000,Per Orang,Rekreasi Keluarga,Olahraga rekreasi,18,15.0,3.0,3.0,3.0,7.0,8.0,83.3
LOC-067,Paris Van Java Resort Lifestyle Place,-6.9231445,107.6822858,0,0,Gratis,Tempat Belanja,Mall,190,178.0,12.0,97.0,34.0,114.0,54.0,93.7
LOC-068,Pasar Cimindi,-6.8971851,107.5585651,0,0,Gratis,Tempat Belanja,Pusat belanja,0,,,,,,,0.0
LOC-069,Pemandian Cipanas Cileungsing,-7.00583,107.51944,10000,15000,Per Orang,Wisata Alam,Daya tarik alam,12,10.0,2.0,7.0,3.0,4.0,5.0,83.3
LOC-070,Penangkaran Rusa Ranca Upas,-7.1227905,107.424115,28000,44000,Per Orang,Tempat Camping,Camping ground,191,180.0,11.0,142.0,114.0,93.0,96.0,94.2
LOC-071,Puncak Bukit Kujang Gunung Bohong,-6.8766,107.5199,0,0,Gratis,Wisata Alam,Puncak bukit,13,13.0,0.0,6.0,5.0,6.0,5.0,100.0
LOC-072,Puncak Eurad,-6.7903231,107.68087,5000,5000,Per Orang,Wisata Alam,Daya tarik alam,18,15.0,3.0,10.0,2.0,5.0,1.0,83.3
LOC-073,Ranca Upas Ciwidey,-7.1384888,107.3917416,28000,28000,Per Orang,Tempat Camping,Camping ground,189,174.0,15.0,134.0,100.0,109.0,110.0,92.1
LOC-074,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey,-7.0728751,107.4894089,0,0,Gratis,Tempat Kuliner,Rumah makan,169,139.0,30.0,29.0,83.0,51.0,22.0,82.2
LOC-075,Sanghyang Heuleut,-6.8764679,107.341682,20000,20000,Per Orang,Wisata Alam,Danau alami,15,12.0,3.0,6.0,4.0,4.0,2.0,80.0
LOC-076,Sanghyang Kenit,-6.8598247,107.3478097,5000,10000,Per Orang,Wisata Alam,Sungai dan tebing,16,14.0,2.0,9.0,6.0,5.0,5.0,87.5
LOC-077,Saung Angklung Udjo,-6.8982695,107.6552971,85000,85000,Per Orang,Tempat Seni,Seni pertunjukan,200,195.0,5.0,98.0,63.0,59.0,143.0,97.5
LOC-078,Selasar Sunaryo Art Space,-6.8586315,107.6365204,25000,45000,Per Orang,Tempat Seni,Galeri seni,191,186.0,5.0,86.0,87.0,70.0,43.0,97.4
LOC-079,Situ Cileunca Pangalengan Bandung,-7.1962036,107.5514079,5000,5000,Per Orang,Wisata Alam,Daya tarik alam,191,184.0,7.0,138.0,59.0,75.0,75.0,96.3
LOC-080,Situ Cisanti,-7.2093913,107.6574773,10000,20000,Per Orang,Wisata Alam,Daya tarik alam,179,173.0,6.0,144.0,47.0,92.0,52.0,96.6
LOC-081,Situ Ciseupan Cibeber,-6.8932952,107.5160775,5000,5000,Per Orang,Wisata Alam,Daya tarik alam,17,15.0,2.0,9.0,5.0,8.0,7.0,88.2
LOC-082,Situ Patenggang Ciwidey Bandung,-7.1672928,107.3576729,25000,25000,Per Orang,Wisata Alam,Daya tarik alam,184,162.0,22.0,136.0,80.0,89.0,41.0,88.0
LOC-083,Stone Garden Citatah,-6.8250977,107.4375517,15000,20000,Per Orang,Wisata Alam,Taman batu,15,15.0,0.0,8.0,5.0,4.0,2.0,100.0
LOC-084,Sunrise Point Cukul,-7.2337053,107.5342649,10000,10000,Per Orang,Wisata Alam,Titik panorama,93,91.0,2.0,82.0,46.0,47.0,14.0,97.8
LOC-085,Tahura Gunung Kunci,-7.2145,107.3579,10000,10000,Per Orang,Wisata Alam,Hutan raya,12,11.0,1.0,9.0,4.0,7.0,6.0,91.7
LOC-086,Taman Alun-Alun Kota Cimahi,-6.8732,107.5423,0,0,Gratis,Taman Kota,Ruang publik kota,8,8.0,0.0,2.0,0.0,3.0,2.0,100.0
LOC-087,Taman Ecowisata Cimenteng,-6.8422004,107.5467493,0,0,Gratis,Wisata Alam,Ekowisata,0,,,,,,,0.0
LOC-088,Taman Endog,-6.8474026,107.9240642,0,0,Gratis,Taman Kota,Ruang publik kota,6,6.0,0.0,3.0,1.0,3.0,0.0,100.0
LOC-089,Taman Film,-6.8985088,107.6077767,0,0,Gratis,Taman Kota,Ruang publik kota,171,158.0,13.0,59.0,38.0,95.0,101.0,92.4
LOC-090,Taman Foto Bandung,-6.9134767,107.6271878,0,0,Gratis,Taman Kota,Ruang publik kota,189,180.0,9.0,98.0,26.0,105.0,131.0,95.2
LOC-091,Taman Hutan Raya Ir. H. Djuanda,-6.8566957,107.6334977,17000,17000,Per Orang,Taman Kota,Ruang publik kota,197,196.0,1.0,159.0,92.0,152.0,102.0,99.5
LOC-092,Taman Jomblo,-6.8981221,107.6092198,5000,10000,Per Orang,Taman Kota,Ruang publik kota,158,141.0,17.0,42.0,15.0,71.0,33.0,89.2
LOC-093,Taman Kartini,-6.8886533,107.536768,0,0,Gratis,Taman Kota,Ruang publik kota,9,8.0,1.0,5.0,2.0,2.0,6.0,88.9
LOC-094,Taman Lalu Lintas Ade Irma Suryani Nasution,-6.91193,107.613624,10000,15000,Per Orang,Tempat Belajar,Edukasi lalu lintas,189,179.0,10.0,95.0,135.0,133.0,167.0,94.7
LOC-095,Taman Langit Pangalengan (Sunrise Point & Camping Ground),-7.218568,107.575971,5000,15000,Per Orang,Tempat Camping,Camping ground,192,186.0,6.0,175.0,101.0,157.0,49.0,96.9
LOC-096,Taman Lansia,-6.8975989,107.6312048,0,0,Gratis,Taman Kota,Ruang publik kota,184,178.0,6.0,106.0,41.0,138.0,86.0,96.7
LOC-097,Taman Lembah Dewata,-6.8115695,107.6428718,20000,25000,Per Orang,Rekreasi Keluarga,Taman rekreasi alam,0,,,,,,,0.0
LOC-098,Taman Musik,-6.9119444,107.6159987,0,0,Gratis,Taman Kota,Ruang publik kota,0,,,,,,,0.0
LOC-099,Taman Superhero,-6.9107448,107.6306343,0,0,Gratis,Taman Kota,Ruang publik kota,192,188.0,4.0,65.0,49.0,100.0,156.0,97.9
LOC-100,Tebing Karaton,-6.8348771,107.6637416,17000,17000,Per Orang,Wisata Alam,Tebing panorama,17,17.0,0.0,13.0,3.0,4.0,2.0,100.0
LOC-101,Teras Cikapundung Bbws,-6.8843,107.6069,0,0,Gratis,Taman Kota,Ruang publik sungai,0,,,,,,,0.0
LOC-102,Terminal Wisata Grafika Cikole,-6.7850486,107.6516285,20000,20000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi keluarga,14,14.0,0.0,6.0,3.0,6.0,5.0,100.0
LOC-103,The Great Asia Africa,-6.8326049,107.6047628,50000,65000,Per Orang,Tempat Budaya,Taman budaya tematik,11,11.0,0.0,9.0,4.0,3.0,3.0,100.0
LOC-104,The Kings Shopping Centre,-6.9228656,107.6049577,0,0,Gratis,Tempat Belanja,Pusat belanja,193,187.0,6.0,57.0,63.0,107.0,68.0,96.9
LOC-105,The Lodge Maribaya,-6.8288811,107.688434,50000,65000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi alam,21,21.0,0.0,8.0,4.0,7.0,11.0,100.0
LOC-106,The Nice Park Bandung,-6.8235133,107.5555715,30000,60000,Per Orang,Rekreasi Keluarga,Taman rekreasi keluarga,23,23.0,0.0,2.0,5.0,3.0,13.0,100.0
LOC-107,Toga Hill,-6.8769363,107.9091747,10000,10000,Per Orang,Wisata Alam,Bukit panorama,0,,,,,,,0.0
LOC-108,Trans Studio Bandung,-6.9247021,107.6360969,100000,100000,Per Orang,Rekreasi Keluarga,Taman hiburan indoor,187,142.0,45.0,76.0,98.0,135.0,104.0,75.9
LOC-109,Trans Studio Mall Bandung,-6.9256414,107.6367469,0,0,Gratis,Tempat Belanja,Pusat belanja,182,118.0,64.0,47.0,62.0,123.0,59.0,64.8
LOC-110,Upside Down World Bandung,-6.8963,107.617,80000,100000,Per Orang,Rekreasi Keluarga,Wahana foto interaktif,164,131.0,33.0,125.0,78.0,30.0,47.0,79.9
LOC-111,Venus Cimahi,-6.8770592,107.5399984,15000,25000,Per Orang,Rekreasi Keluarga,Tempat hiburan,19,17.0,2.0,5.0,5.0,3.0,7.0,89.5
LOC-112,Vihara Satya Budhi,-6.9179615,107.5926411,0,0,Gratis,Tempat Ibadah,Vihara,43,41.0,2.0,17.0,6.0,20.0,2.0,95.3
LOC-113,Wayang Windu Panenjoan,-7.2041999,107.6264991,20000,20000,Per Orang,Wisata Alam,Titik panorama,0,,,,,,,0.0
LOC-114,Wisata Air Gajah Depa,-6.8193829,107.9446083,30000,35000,Per Orang,Wahana Air,Wahana air buatan,0,,,,,,,0.0
LOC-115,Wisata Hutan Pinus Pal 16 Cikole Lembang,-6.7798046,107.6454692,10000,10000,Per Orang,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-116,Wisata Kampoeng Ciherang,-6.8293636,107.7978925,20000,20000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi keluarga,12,11.0,1.0,7.0,5.0,6.0,7.0,91.7
LOC-117,Kiara Artha Park,-6.916458,107.6422474,10000,10000,Per Orang,Rekreasi Keluarga,Taman rekreasi,533,469.0,64.0,228.0,127.0,177.0,204.0,88.0
LOC-118,Forest Walk Babakan Siliwangi,-6.8870113,107.6109441,0,0,Gratis,Wisata Alam,Hutan kota,0,,,,,,,0.0
LOC-119,Taman Dewi Sartika,-6.9133997,107.6095152,0,0,Gratis,Taman Kota,Ruang publik kota,17,16.0,1.0,9.0,2.0,10.0,6.0,94.1
LOC-120,Rumah Guguk,-6.8469616,107.5955585,70000,90000,Per Orang,Wisata Satwa,Wisata hewan peliharaan,0,,,,,,,0.0
LOC-121,NuArt Sculpture Park,-6.8772419,107.5724908,50000,50000,Per Orang,Tempat Seni,Taman patung,0,,,,,,,0.0
LOC-122,Peta Park,-6.9317342,107.5883194,10000,15000,Per Orang,Rekreasi Keluarga,Taman rekreasi,12,10.0,2.0,2.0,1.0,2.0,4.0,83.3
LOC-123,Museum Pendidikan Nasional UPI,-6.8597725,107.5941677,5000,15000,Per Orang,Tempat Belajar,Tempat edukasi,0,,,,,,,0.0
LOC-124,Museum Barli,-6.8783934,107.5875219,25000,25000,Per Orang,Tempat Belajar,Tempat edukasi,9,8.0,1.0,1.0,3.0,2.0,2.0,88.9
LOC-125,Wot Batu,-6.8585391,107.6366148,50000,50000,Per Orang,Tempat Seni,Instalasi seni,9,8.0,1.0,2.0,0.0,0.0,1.0,88.9
LOC-126,Lawangwangi Creative Space,-6.8476429,107.6275129,25000,200000,Per Orang,Tempat Seni,Ruang kreatif,555,538.0,17.0,261.0,115.0,114.0,65.0,96.9
LOC-127,Sarae Hills,-6.8436646,107.6242395,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,9,6.0,3.0,5.0,1.0,2.0,1.0,66.7
LOC-128,Observatorium Bosscha,-6.8244765,107.61602,50000,50000,Per Orang,Tempat Belajar,Observatorium,0,,,,,,,0.0
LOC-129,Curug Dago,-6.8654924,107.6181817,15000,15000,Per Orang,Wisata Alam,Daya tarik alam,11,11.0,0.0,7.0,7.0,6.0,4.0,100.0
LOC-130,Fairy Garden by The Lodge,-6.8233175,107.6886132,25000,25000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,0,,,,,,,0.0
LOC-131,Cikole Jayagiri Resort,-6.7823255,107.650253,15000,25000,Per Orang,Penginapan Wisata,Resort wisata,4,4.0,0.0,3.0,1.0,3.0,2.0,100.0
LOC-132,Bird & Bromelia Pavilion,-6.8408955,107.6376637,35000,50000,Per Orang,Wisata Satwa,Taman burung,0,,,,,,,0.0
LOC-133,Punclut Bandung (Puncak Ciumbuleuit),-6.8552,107.6116,0,0,Gratis,Wisata Alam,Kawasan panorama,0,,,,,,,0.0
LOC-134,Bukit Bintang Bandung (Patahan Lembang),-6.8219342,107.6623629,15000,25000,Per Orang,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-135,Taman Main Mili-Mili & Hutan Mycelia,-6.7854682,107.6516053,50000,50000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,0,,,,,,,0.0
LOC-136,Tepi Danau,-6.8594685,107.4625265,20000,30000,Per Orang,Wisata Alam,Tepi danau,9,6.0,3.0,3.0,3.0,3.0,4.0,66.7
LOC-137,Rumah Belanda,-6.780124,107.7075748,25000,50000,Per Orang,Tempat Budaya,Rumah tematik budaya,0,,,,,,,0.0
LOC-138,Kebun Teh Sukawana,-6.89556,107.58361,10000,10000,Per Orang,Wisata Alam,Daya tarik alam,238,226.0,12.0,146.0,24.0,77.0,44.0,95.0
LOC-139,Kawah Rengganis Ciwidey,-7.1724375,107.3766875,15000,100000,Per Orang,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-140,Rengganis Suspension Bridge,-7.1735,107.374,70000,100000,Per Orang,Wisata Petualangan,Jembatan gantung,19,19.0,0.0,11.0,7.0,3.0,5.0,100.0
LOC-141,Taman Wisata Bougenville,-7.110494,107.601071,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi alam,15,15.0,0.0,7.0,2.0,6.0,5.0,100.0
LOC-142,Hejo Forest Ciwidey,-7.143119,107.3912496,15000,250000,Per Orang,Wisata Alam,Hutan wisata,0,,,,,,,0.0
LOC-143,Driam Riverside,-7.06826,107.4904614,15000,310000,Per Orang,Penginapan Wisata,Resort wisata,0,,,,,,,0.0
LOC-144,Barusen Hills Ciwidey,-7.1186146,107.5000118,25000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi keluarga,0,,,,,,,0.0
LOC-145,Palalangon Park,-7.1107391,107.4956463,15000,30000,Per Orang,Rekreasi Keluarga,Taman rekreasi,12,12.0,0.0,6.0,2.0,5.0,6.0,100.0
LOC-146,Taman Love Soreang,-7.0449031,107.5039119,25000,30000,Per Orang,Rekreasi Keluarga,Taman rekreasi keluarga,12,11.0,1.0,4.0,3.0,3.0,1.0,91.7
LOC-147,Victory Waterpark Soreang,-7.0316564,107.5072181,40000,60000,Per Orang,Wahana Air,Wahana air buatan,0,,,,,,,0.0
LOC-148,Pesona Nirwana Waterpark,-7.0409974,107.5266339,40000,50000,Per Orang,Wahana Air,Wahana air buatan,0,,,,,,,0.0
LOC-149,Taman Wisata Alam Cimanggu,-7.1453684,107.3912258,15000,15000,Per Orang,Wisata Alam,Taman wisata alam,0,,,,,,,0.0
LOC-150,Southland Camp Ciwidey,-7.1425721,107.3921291,26000,26000,Per Orang,Tempat Camping,Camping ground,0,,,,,,,0.0
LOC-151,Ecopark Curug Tilu Ciwidey,-7.1499028,107.3757828,25000,40000,Per Orang,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-152,Kebun Teh Rancabali,-7.111493,107.4152189,0,0,Gratis,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-153,Perkebunan Teh Malabar,-7.2029908,107.5911852,5000,15000,Per Orang,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-154,Kampung Singkur,-7.1843442,107.5467251,10000,10000,Per Orang,Wisata Petualangan,Wisata sungai,16,16.0,0.0,7.0,1.0,3.0,6.0,100.0
LOC-155,Curug Panganten,-6.8435086,107.5639385,5000,5000,Per Orang,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-156,Gunung Artapela,-7.178754,107.6492849,15000,15000,Per Orang,Wisata Alam,Daya tarik alam,9,9.0,0.0,6.0,0.0,2.0,2.0,100.0
LOC-157,Hutan Pinus Rahong,-7.1807,107.547,5000,5000,Per Orang,Wisata Alam,Daya tarik alam,15,11.0,4.0,8.0,3.0,3.0,8.0,73.3
LOC-158,Situ Ninah (Situ Datar),-7.03278,107.56611,25000,25000,Per Orang,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-159,Penangkaran Rusa Kertamanah,-7.1902358,107.6106834,5000,10000,Per Orang,Wisata Satwa,Penangkaran rusa,0,,,,,,,0.0
LOC-160,Kawah Wayang,-7.2069313,107.6373723,15000,15000,Per Orang,Wisata Alam,Daya tarik alam,16,15.0,1.0,11.0,6.0,7.0,3.0,93.8
