id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,jenis_kawasan,daya_tarik_wisata_primer,tahun
52,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA SENI KREATIF SUCI PADASUKA,SENTRA KAOS SUCI,2016
53,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA SENI KREATIF SUCI PADASUKA,KAMPUNG WISATA MUSIK CICADAS,2016
54,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA SENI KREATIF SUCI PADASUKA,WISATA BATIK CIGADUNG,2016
55,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA AERONAUTIKA BANDUNG,PERSEROAN TERBATAS (PT) DIRGANTARA INDONESIA,2016
56,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA AERONAUTIKA BANDUNG,BANDARA HUSEIN SASTRANEGARA,2016
57,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA KESEHATAN PASTEUR,RUMAH SAKIT HASAN SADIKIN,2016
58,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA KESEHATAN PASTEUR,BIOFARMA,2016
59,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA KESEHATAN PASTEUR,PABRIK KINA,2016
60,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA KESEHATAN PASTEUR,RUMAH SAKIT MATA CICENDO,2016
61,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA KESEHATAN PASTEUR,SEKOLAH TINGGI ILMU KESEHATAN,2016
62,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA KESEHATAN PASTEUR,GELANGGANG OLAH RAGA PAJAJARAN,2016
63,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA TAMAN KOTA RUAS JALAN ACEH-JALAN L.L.R.E. MARTADINATA,TAMAN MALUKU,2016
64,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA TAMAN KOTA RUAS JALAN ACEH-JALAN L.L.R.E. MARTADINATA,TAMAN PRAMUKA,2016
65,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA TAMAN KOTA RUAS JALAN ACEH-JALAN L.L.R.E. MARTADINATA,TAMAN LALU-LINTAS,2016
66,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA TAMAN KOTA RUAS JALAN ACEH-JALAN L.L.R.E. MARTADINATA,GELANGGANG OLAH RAGA SAPARUA,2016
67,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA TAMAN KOTA RUAS JALAN ACEH-JALAN L.L.R.E. MARTADINATA,STADION SILIWANGI,2016
68,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA TAMAN KOTA RUAS JALAN ACEH-JALAN L.L.R.E. MARTADINATA,SILIWANGI GOLF DRIVING RANGE,2016
69,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA TAMAN KOTA RUAS JALAN ACEH-JALAN L.L.R.E. MARTADINATA,TAMAN BALAIKOTA,2016
70,32,JAWA BARAT,3273,KOTA BANDUNG,"KAWASAN PARIWISATA BELANJA JALAN
  OTTO ISKANDARDINATAÂ  JALAN KEPATIHAN",PASAR BARU,2016
71,32,JAWA BARAT,3273,KOTA BANDUNG,"KAWASAN PARIWISATA BELANJA JALAN
  OTTO ISKANDARDINATAÂ  JALAN KEPATIHAN",KINGS PLAZA,2016
72,32,JAWA BARAT,3273,KOTA BANDUNG,"KAWASAN PARIWISATA BELANJA JALAN
  OTTO ISKANDARDINATAÂ  JALAN KEPATIHAN",PERTOKOAN DI SEPANJANG JALAN OTTO ISKANDARDINATA,2016
73,32,JAWA BARAT,3273,KOTA BANDUNG,"KAWASAN PARIWISATA BELANJA JALAN
  OTTO ISKANDARDINATAÂ  JALAN KEPATIHAN",JALAN KEPATIHAN,2016
74,32,JAWA BARAT,3273,KOTA BANDUNG,"KAWASAN PARIWISATA BELANJA JALAN
  OTTO ISKANDARDINATAÂ  JALAN KEPATIHAN",PASKAL HYPER SQUARE,2016
75,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA ALAM PERKOTAAN TEGALLEGA,TAMAN TEGALLEGA,2016
76,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA ALAM PERKOTAAN TEGALLEGA,PASAR BUNGA TEGALLEGA,2016
77,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA ALAM PERKOTAAN TEGALLEGA,PASAR BURUNG SUKAHAJI,2016
78,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA INDUSTRI KREATIF CIBADUYUTCIGONDEWAH,SENTRA KERAJINAN SEPATU CIBADUYUT,2016
79,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA INDUSTRI KREATIF CIBADUYUTCIGONDEWAH,INDUSTRI GARMEN DI SEKITAR CIGONDEWAH,2016
80,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA INDUSTRI KREATIF CIBADUYUTCIGONDEWAH,SENTRA TAHU CIBUNTU,2016
81,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA INDUSTRI KREATIF CIBADUYUTCIGONDEWAH,BANDUNG CONVENTION CENTRE,2016
82,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN REKREASI EDUKATIF GATOT SUBROTO,KAWASAN TRANS STUDIO,2016
83,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN REKREASI EDUKATIF GATOT SUBROTO,TRANS STUDIO MALL,2016
84,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA INDUSTRI KIARACONDONG,PERSEROAN TERBATAS PUSAT INDUSTRI ANGKATAN DARAT,2016
85,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA INDUSTRI KIARACONDONG,SENTRA INDUSTRI RAJUTAN BINONG JATI,2016
86,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BELANJA METRO-SOEKARNO-HATTA,"METRO TRADE CENTRE, PERTOKOAN DI SEKITAR METRO",2016
87,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BELANJA METRO-SOEKARNO-HATTA,PASAR INDUK DAN PASAR CIMOL GEDEBAGE,2016
88,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA LEMBAGA PEMASYARAKATAN SUKAMISKIN,LEMBAGA PEMASYARAKATAN DAN PONDOK PESANTREN SUKAMISKIN,2016
89,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN SENI BUAH BATU,SEKOLAH TINGGI SENI INDONESIA,2016
90,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN SENI BUAH BATU,SEKOLAH TINGGI SENI RUPA DAN DESAIN INDONESIA,2016
91,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN SENI BUAH BATU,SEKOLAH MENENGAH KEJURUAN NEGERI 10 (SEPULUH),2016
