id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama,alamat,tahun
64,32,JAWA BARAT,3273,KOTA BANDUNG,SAABIQ INTERNATIONAL TOUR & TRAVEL. PT,"GRAHA POS INDONESIA - JL. BANDA NO.30 - CITARUM - KEC. BANDUNG
  WETAN - KOTA BANDUNG - JAWA BARAT 40115",2024
65,32,JAWA BARAT,3273,KOTA BANDUNG,RAJA TOUR BANDUNG,"JL. RANGGAMALELA NO.11 - TAMANSARI - KEC. BANDUNG WETAN - KOTA
  BANDUNG - JAWA BARAT 40116",2024
66,32,JAWA BARAT,3273,KOTA BANDUNG,SIGHTSEEING TOURS AND TRAVEL,"JL. CIHAMPELAS NO.28 - TAMANSARI - KEC. BANDUNG WETAN - KOTA
  BANDUNG - JAWA BARAT 40171",2024
67,32,JAWA BARAT,3273,KOTA BANDUNG,WITA TOUR BANDUNG,"JL. WASTUKENCANA NO.44 - TAMANSARI - KEC. BANDUNG WETAN - KOTA
  BANDUNG - JAWA BARAT 40116",2024
68,32,JAWA BARAT,3273,KOTA BANDUNG,DREAM TOUR BANDUNG,"JL. SULANJANA NO.32 - TAMANSARI - KEC. BANDUNG WETAN - KOTA
  BANDUNG - JAWA BARAT 40116",2024
69,32,JAWA BARAT,3273,KOTA BANDUNG,AYA TRAVEL,"BUMI HOTEL SAWUNGGALING - JL. SAWUNGGALING NO.13 - TAMANSARI -
  KEC. BANDUNG WETAN - KOTA BANDUNG - JAWA BARAT 40116",2024
70,32,JAWA BARAT,3273,KOTA BANDUNG,GOLDEN RAMA TOURS & TRAVEL,"JL. PAJAJARAN NO.6 - TAMANSARI - KEC. BANDUNG WETAN - KOTA
  BANDUNG - JAWA BARAT 40116",2024
71,32,JAWA BARAT,3273,KOTA BANDUNG,ASKARA TOUR & TRAVEL,"JL. KB. BIBIT UTARA NO.5 - TAMANSARI - KEC. BANDUNG WETAN -
  KOTA BANDUNG - JAWA BARAT 40116",2024
72,32,JAWA BARAT,3273,KOTA BANDUNG,TRIP HEMAT ID,"JL. KB. KEMBANG NO.07 - TAMANSARI - KEC. BANDUNG WETAN - KOTA
  BANDUNG - JAWA BARAT 40116",2024
73,32,JAWA BARAT,3273,KOTA BANDUNG,@ARMY_TOUR,"JL. IBRAHIM ADJIE NO.300 - BINONG - KEC. BATUNUNGGAL - KOTA
  BANDUNG - JAWA BARAT",2024
74,32,JAWA BARAT,3273,KOTA BANDUNG,TIARA TOUR AND TRAVEL SERVICE,"JL. LASWI NO.69 B - CIBANGKONG - KEC. BATUNUNGGAL - KOTA
  BANDUNG - JAWA BARAT 40273",2024
75,32,JAWA BARAT,3273,KOTA BANDUNG,TREVELWAYUBESTOR,"POS PAUD MITRA - JL. CIBANGKONG NO.222 - RT.02/RW.5 -
  CIBANGKONG - KEC. BATUNUNGGAL - KOTA BANDUNG - JAWA BARAT 40273",2024
76,32,JAWA BARAT,3273,KOTA BANDUNG,ALISHA TOUR BANDUNG,"JALAN CIKUDAPATEUHKOLOT JL PEMBANGUNAN II NO 72/116 GATOT
  SUBROTO - CIBANGKONG - KEC. BATUNUNGGAL - KOTA BANDUNG - JAWA BARAT 40273",2024
77,32,JAWA BARAT,3273,KOTA BANDUNG,ICE TOUR & TRAVEL INDONESIA,"JL. RANCA MANYAR II NO.30 - GUMURUH - KEC. BATUNUNGGAL - KOTA
  BANDUNG - JAWA BARAT 40264",2024
78,32,JAWA BARAT,3273,KOTA BANDUNG,PT. ASIA TRIP INTERNASIONAL,"JL. GATOT SUBROTO NO.293 - MALEER - KEC. BATUNUNGGAL - KOTA
  BANDUNG - JAWA BARAT 40274",2024
79,32,JAWA BARAT,3273,KOTA BANDUNG,MD RENTCAR CITY TOUR&TRAVEL,"JL. BABAKAN TAROGONG GG.BAHRUL IKSAN - RT.03/RW.05 - BABAKAN
  ASIH - KEC. BOJONGLOA KALER - KOTA BANDUNG - JAWA BARAT",2024
80,32,JAWA BARAT,3273,KOTA BANDUNG,SQ TOURS & TRAVEL,"JL. PAGARSIH NO.240 A - JAMIKA - KEC. BOJONGLOA KALER - KOTA
  BANDUNG - JAWA BARAT 40231",2024
81,32,JAWA BARAT,3273,KOTA BANDUNG,HOLIDAY TOUR & TRAVEL,"JL. TERUSAN PASIRKOJA NO.192 - SUKA ASIH - KEC. BOJONGLOA
  KALER - KOTA BANDUNG - JAWA BARAT 40424",2024
