location_id,location_name,media_available,media_image_url,media_destination_url,media_website,media_source,media_match_title,media_match_score,media_match_method,media_audit_status,media_audit_note
LOC-055,Maribaya Natural Hotspring Resort,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAELSQfzjPJ5X-7wiGGl4uU-E02Ei4l4ziUWmCbnQsey93f1Ai9ecCS4dUs60p828QzvaHZ23cCC1D-soFELxkhI30ow-I_Zm5qinMb572J0m7TkAyBLJGS26k0tC-AhYF2L4lE=w408-h408-k-no,https://www.google.com/maps/search/?api=1&query=MARIBAYA%20Natural%20Hotspring%20Resort&query_place_id=ChIJZ4ZeILvgaC4RawZjwY1yckY,https://maribayaresort.com/,google_maps_extractor_2026_05_19,MARIBAYA Natural Hotspring Resort,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-056,Masjid Agung Bandung,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFmfaGcMO9JmQmtfhAuoqKlFbY2GA-SBdps0l7lcbJVvICJBwiFYGOEa01rJLzcGl-MG_z1DadKVw7zHkn19ctHcC9rQun3SLHVoaLCWzi4WVRomxb6Hvbft1QmAPSantUs5Sl3-Q=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Masjid%20Agung%20Bandung&query_place_id=ChIJ1RIjvSXmaC4Rn7u8rwSSLPw,,google_maps_extractor_2026_05_19,Masjid Agung Bandung,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-057,Masjid Agung Sumedang,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsaSCgsxbdUyDDQrhRmm5PaEkcyG-FmqQXZC5pV1EGpGAQgfFybEdiTEbqMoH4PW2fG_SmUQuwabNx08tWUbsHrE0omfGTjgjTDTkk9k39P2Sfad1JHSZb_EvqW4pL1GgsO7O36g=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Masjid%20Agung%20SUMEDANG&query_place_id=ChIJ_____wzRaC4ReRQcMa0_0Bk,,google_maps_extractor_2026_05_19,Masjid Agung SUMEDANG,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-058,Masjid Jami' Al Baakhirah,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWl06DZheOhTHFwocYBX6JkAQsVpXaiTVsF4py_W1tALJhd_ZnvuhtKyTnzTOcxDclLDoENjNmoomNtFUt8DqZnkx13dUQTIokIc371QZgUQUCLkGeNuIayq1REStFmTURxmY97g=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Masjid%20Jami'%20Al%20Baakhirah&query_place_id=ChIJTaNiObblaC4R81ETLxRqxoQ,https://www.instagram.com/masjidalbaakhirahbaros?igsh=MXZ6eTNubzJ5dmV4ZA==&utm_source=qr,google_maps_extractor_2026_05_19,Masjid Jami' Al Baakhirah,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-059,Mata Air Cikandung,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGC_93zMINxBu5cXJVkpxqycMo6CcncmXhDaX4h4BBReHkjg6UkuAyAuC8ZRONhG66XrbD64oUvHkrqF6guLSIhYF4yKY33ciXCUqy2UlgDzJszlywY6s6Aus92l4LWaFIREzFLLQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Mata%20Air%20Cikandung&query_place_id=ChIJF566MV_WaC4R1qY3bY8QGOw,,google_maps_extractor_2026_05_19,Mata Air Cikandung,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-060,Museum Geologi Bandung,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPPdzKxiw3PZ4pIg0UsnWhMsa8d5UDdjCh0FDEtJMjb_YSXUA4CGKZdUFlOtrj_6-S_AKxvPkLm6xUrr-d-IzA-w774JUIzdhQLlathvy-LcQSeNdLWX3Lm7zW4HzXfzjdGTtkhw=w408-h280-k-no,https://www.google.com/maps/search/?api=1&query=Museum%20Geologi%20Bandung&query_place_id=ChIJveuvykzmaC4R9jRz_5tzU54,https://museum.geologi.esdm.go.id/,google_maps_extractor_2026_05_19,Museum Geologi Bandung,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-061,Museum Konferensi Asia Afrika,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF5DYFwv2QW2m-zAjIwBM3h5QeZ3UGz3k5LQ6dgna17ujPL_3V5H3UHvP6M0zkIkqVqrEYSS5IkuX4jezBV2IQCd9PmMvPfknYZqm1Jm3FADuzAuR85kAoQmf-zMLS6MLmPzwPNRGqqYDFW=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Museum%20Konferensi%20Asia%20Afrika&query_place_id=ChIJT5aRFS_maC4RcqQgi-wwFu0,https://mkaa.kemlu.go.id/,google_maps_extractor_2026_05_19,Museum Konferensi Asia Afrika,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-062,Museum Pos Indonesia,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH2kNy6uYZpCu2KObHJRS0eUBn_IGHz5n7SIkMQBREfDGm0_-BRkwkjsQUoA-L-FHT3uuPI3bYSubXoE_L0F3fjR3fyC6qoj5FLkJCWtMDNLn2qAoV0herNdxmcbTPyfkZAvfrkCA=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Museum%20Pos%20Indonesia&query_place_id=ChIJ68r-WkvmaC4RQbTWCZM8uRI,http://asosiasimuseumindonesia.org/,google_maps_extractor_2026_05_19,Museum Pos Indonesia,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-063,Museum Sri Baduga,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGR24FQAiFGeNKXdYKTicEVpSqrS04wQpGunIU1FfU0xEKG7Vmty4DZokWlC-txCphzQwDmwp1N0EbShr1riJw-6KJF3wjxHD7PimK5Z6CMKEPNgGBdu_ol_lTN96gWyVCVpyx4lg=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Museum%20Sri%20Baduga&query_place_id=ChIJfQ4b9JnoaC4RrCP9RrE4r8Y,http://sribaduga.jabarprov.go.id/,google_maps_extractor_2026_05_19,Museum Sri Baduga,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-064,Nimo Highland,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFcUJiIx3IwGQzDgSCoAA0k_pk5KarZAn8q37KgjN0KWOjbcA-oauiI676cVf6zkXBOjv6smZv-tnAJa-jEZL7QpD6_EHEYxnhb9ox5aPZDb65AQxfuY97_sJPQyrqq3__WOWpHBQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=NIMO%20Highland&query_place_id=ChIJo7zTkaSXaC4R8ysl1smnMVA,https://www.nimoland.com/,google_maps_extractor_2026_05_19,NIMO Highland,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-065,Orchid Forest Cikole,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFev-KAPnQlQgY1rjXRnsYANsGeiIWXKlYpmZdIEydJEg1pF_tmL8Cczv5Go98CiVS8RCKVozG6cEymfcN-eYcPveWQSN2ViVNw0CI9WKF9BMFqS2TetrG3eFVkB0oh-0H0U6w=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Orchid%20Forest%20Cikole&query_place_id=ChIJBxan4TjgaC4RYi4ejXdY-Hk,https://www.instagram.com/orchidforestcikole,google_maps_extractor_2026_05_19,Orchid Forest Cikole,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-066,Pandiga Educreation Sports,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGe731Zc_R4tUKjqEwGw-n3fzcs1ioax2JpFAFCF0IPG-6hcI_mhs8eBpN9SR_AUvbj5WW08nLuTe_JOLwm1WElM5aJUDds63aqnXewtZc5SP5laAm7MD_gLTTeyMxqldfSutB0=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Pandiga%20Educreation%20Sports&query_place_id=ChIJ9_jNcTnkaC4RS3p5dhgPahU,http://www.pandiga-educreation.com/,google_maps_extractor_2026_05_19,Pandiga Educreation Sports,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-067,Paris Van Java Resort Lifestyle Place,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJE4kWG_YrST63JcNV9Eh5NFJ2FsUQR7T9fyq65FxPPX5zTXcSdL0BXQRmNBWwZ2FB0avSWMM8ZN43Fhau_vZN_K0P55Q3FkjpM65nko98J56njQj6qHpTE6zpN15AUfAk0R3y8i5undfE=w408-h541-k-no,https://www.google.com/maps/search/?api=1&query=Paris%20Van%20Java%20Resort%20Lifestyle%20Place&query_place_id=ChIJCYpAP2DmaC4RshB4KjZqULA,http://www.parisvanjava.id/,google_maps_extractor_2026_05_19,Paris Van Java Resort Lifestyle Place,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-068,Pasar Cimindi,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFx06hTgyc-K_wvLUBgyAhDsdelrlCVvu61Mp5XesTTYE8eAEZHpRaE3cveg3RkTJW5yOY7N5DhEc2k23-qIjrKsdbAUpCJ8KOgWHpuV9RjLbar9E-kKHJzZiI2bUVkR-W8Q8pE=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Pasar%20Cimindi&query_place_id=ChIJ_ZYRy8jlaC4RPaMxHmIuSbE,https://app.bayurizki.my.id/,google_maps_extractor_2026_05_19,Pasar Cimindi,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-069,Pemandian Cipanas Cileungsing,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG5DnFRrLz9-VrqLZETNBNKiMbMpNNLkbm8fnVv1rvfr7BcqKQHjxeieOufbcUB3Q10vKF-QX1NxkkDNw7AIZ7gVEqZxV4IAjfj6ByRcziAz0Z2hdueH5hGgN-D2dQOx_l-Gd3xXg=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Pemandian%20Cipanas%20Cileungsing&query_place_id=ChIJm3yMWj8qaS4RdQaLMvAJa8k,,google_maps_extractor_2026_05_19,Pemandian Cipanas Cileungsing,1.0,exact_normalized_title,accepted,Exact normalized title match.
