batch_no,json_file,penginapan_id,name,property_type_final_after_p3,completion_priority_data_focus,latitude,longitude,current_price_lowest,current_overall_rating,current_reviews,q,max_pages,vacation_rentals,note
43,043_LODGE-01507_wisma-gasibu.json,LODGE-01507,Wisma Gasibu,hotel,P1_price_missing,-6.8975,107.6209,,4.3,140.0,"Wisma Gasibu, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
44,044_LODGE-00577_reddoorz-syariah-near-tugu-pandanwangi-cianjur.json,LODGE-00577,RedDoorz Syariah near Tugu Pandanwangi Cianjur,hotel,P1_price_missing,-6.8288,107.1163,,3.55,128.0,"RedDoorz Syariah near Tugu Pandanwangi Cianjur, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
45,045_LODGE-01471_reddoorz-lombok.json,LODGE-01471,RedDoorz @ Lombok,hotel,P1_price_missing,-6.9098,107.6186,,3.8,94.0,"RedDoorz @ Lombok, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
46,046_LODGE-01465_mr-a-hotel.json,LODGE-01465,Mr A Hotel,hotel,P1_price_missing,-6.896,107.6159,,4.5,86.0,"Mr A Hotel, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
47,047_LODGE-01413_airy-eco-cicendo.json,LODGE-01413,Airy Eco Cicendo,hotel,P1_price_missing,-6.9051,107.5986,,3.3,85.0,"Airy Eco Cicendo, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
48,048_LODGE-01473_reddoorz-paskal-hyper-square.json,LODGE-01473,RedDoorz @ Paskal Hyper Square,hotel,P1_price_missing,-6.9145,107.5941,,3.8,64.0,"RedDoorz @ Paskal Hyper Square, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
49,049_LODGE-01472_reddoorz-natuna.json,LODGE-01472,RedDoorz @ Natuna,hotel,P1_price_missing,-6.9173,107.6174,,4.6,15.0,"RedDoorz @ Natuna, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
50,050_LODGE-00198_reddoorz-plus-near-politeknik-negeri-bandung.json,LODGE-00198,RedDoorz Plus near Politeknik Negeri Bandung,hotel,P1_price_missing,-6.8759316,107.5743878,,4.5,132.0,"RedDoorz Plus near Politeknik Negeri Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
51,051_LODGE-00197_oyo-2728-sinulingga-residence.json,LODGE-00197,OYO 2728 Sinulingga Residence,hotel,P1_price_missing,-6.8881399,107.5778059,,3.2,56.0,"OYO 2728 Sinulingga Residence, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
52,052_LODGE-00196_oyo-1577-onic-residence.json,LODGE-00196,OYO 1577 Onic Residence,hotel,P1_price_missing,-6.8837299,107.5772402,,4.2,9.0,"OYO 1577 Onic Residence, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
53,053_LODGE-01532_d-sovia-hotel-bandung.json,LODGE-01532,D'Sovia Hotel Bandung,hotel,P1_price_missing,-6.9172,107.598,,4.2,1229.0,"D'Sovia Hotel Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
54,054_LODGE-00200_geowisata-inn.json,LODGE-00200,Geowisata Inn,hotel,P1_price_missing,-6.9175,107.5786,,4.4,976.0,"Geowisata Inn, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
55,055_LODGE-01537_hotel-flores-gallery.json,LODGE-01537,Hotel Flores Gallery,hotel,P1_price_missing,-6.9081,107.618,,4.1,574.0,"Hotel Flores Gallery, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
