location_id,location_name,category,multi_labels,avg_sentimen_skor,total_ulasan,sentimen_label_lokasi,latitude,longitude,price_min,price_max,jam_buka,jam_tutup,estimasi_durasi_menit,deskripsi_google,price_type,subcategory,tags_sintetis,jam_buka_weekday,jam_tutup_weekday,jam_buka_weekend,jam_tutup_weekend,sumber_deskripsi,sumber_jam,status_deskripsi,status_jam,catatan_jam,avg_rating,ulasan_positif,ulasan_negatif,primary_intent,core_labels,secondary_labels,avoid_labels,label_confidence,needs_manual_review,review_reason,label_reason,label_scores_json,label_source,review_status,manual_primary_intent,manual_core_labels,manual_secondary_labels,manual_avoid_labels,final_primary_intent,final_core_labels,final_secondary_labels,final_avoid_labels,curation_action,display_status,is_active_verified,manual_review_confidence,curation_note,final_label_source,price_verified,night_verified,indoor_verified,child_friendly_verified,qa_flag_reason,parking_verified,wheelchair_accessible_verified,toilet_verified,mushola_verified,pet_friendly_verified,open_24h_verified,crowd_level,shopping_subtype,coordinate_verified,distance_from_alun_alun_km,coordinate_audit_reason,safety_verified,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available,media_available,media_image_url,media_destination_url,media_website,media_source,media_place_id,media_match_title,media_match_score,media_match_method,media_audit_status,media_audit_note,kota_kabupaten,kecamatan
LODGE-00084,Amellia Hotel Pasteur,Santai,,,271.0,,-6.8857,107.5786,173169.0,,,,,Penginapan berjenis Hotel bernama Amellia Hotel Pasteur berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Kid-friendly.,,Hotel,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788039/muterbandung/penginapan/LODGE-00084_main.jpg,,,,,,,,,,Unknown,Unknown
LODGE-00096,Nabila Syar'i Guest House,Santai,,,101.0,,-6.8654494,107.5182602,243406.0,,,,,"Penginapan berjenis Guest_House bernama Nabila Syar'i Guest House berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free parking, Air conditioning, Kitchen in some rooms, Accessible.",,Guest_House,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788048/muterbandung/penginapan/LODGE-00096_main.jpg,https://nabilasyariguesthouse-bke.zoombookdirect.com/web/en/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,,,,,,,,,Unknown,Unknown
LODGE-00098,Saloka Guest House dan Residence,Santai,,,407.0,,-6.8673691,107.560356,187032.0,,,,,"Penginapan berjenis Guest_House bernama Saloka Guest House dan Residence berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi, Free parking, Air conditioning.",,Guest_House,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788058/muterbandung/penginapan/LODGE-00098_main.jpg,,,,,,,,,,Unknown,Unknown
LODGE-00100,Tirtasari Nice 2 Guest House,Santai,,,178.0,,-6.8759,107.5744,139676.0,,,,,Penginapan berjenis Guest_House bernama Tirtasari Nice 2 Guest House berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Kid-friendly.,,Guest_House,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788068/muterbandung/penginapan/LODGE-00100_main.jpg,,,,,,,,,,Unknown,Unknown
LODGE-00103,RedDoorz near Exit Toll Pasteur 4,Santai,,,74.0,,-6.8905976,107.5790232,133264.0,,,,,"Penginapan berjenis Hotel bernama RedDoorz near Exit Toll Pasteur 4 berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi, Air conditioning.",,Hotel,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788104/muterbandung/penginapan/LODGE-00103_main.jpg,https://www.reddoorz.com/id-id/hotel/indonesia/pasteur/sukajadi/bandung/reddoorz-near-exit-toll-pasteur-4?utm_source=google&utm_medium=mybusiness&utm_campaign=webclick,,,,,,,,,Unknown,Unknown
LODGE-00114,Micasa Guest House Bandung,Santai,,4.058914793862236,302.0,Positif,-6.8892,107.5795,98135.0,,,,,Penginapan berjenis Guest_House bernama Micasa Guest House Bandung berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Pool; Air conditioning; Kid-friendly.,,Guest_House,,,,,,,,,,,3.3,6.0,12.0,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788122/muterbandung/penginapan/LODGE-00114_main.jpg,,,,,,,,,,Unknown,Unknown
LODGE-00122,Sekararum Butik Syariah Guesthouse,Santai,,,93.0,,-6.8874,107.5798,284299.0,,,,,Penginapan berjenis Guest_House bernama Sekararum Butik Syariah Guesthouse berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Air conditioning; Pet-friendly; Restaurant; Kid-friendly.,,Guest_House,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788135/muterbandung/penginapan/LODGE-00122_main.jpg,,,,,,,,,,Unknown,Unknown
LODGE-00132,West Point Hotel Bandung,Santai,,,4377.0,,-6.9125,107.5781,521112.0,,,,,Penginapan berjenis Hotel bernama West Point Hotel Bandung berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Breakfast; Free Wi-Fi; Parking; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly.,,Hotel,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788150/muterbandung/penginapan/LODGE-00132_main.jpg,http://www.westpointbandung.com/,,,,,,,,,Unknown,Unknown
LODGE-00138,OYO 2183 Cibeureum Residence,Santai,,,191.0,,-6.9105922,107.568899,146772.0,,,,,"Penginapan berjenis Hotel bernama OYO 2183 Cibeureum Residence berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi, Parking ($), Air conditioning, Accessible.",,Hotel,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788163/muterbandung/penginapan/LODGE-00138_main.jpg,https://www.google.com/aclk?sa=l&ai=DChsSEwi316if4ueUAxVEicIIHT_8KpEYACICCAEQCRoCamY&co=1&ase=2&gclid=EAIaIQobChMIt9eon-LnlAMVRInCCB0__CqREA0YByABEgJklPD_BwE&cid=CAASugHkaEZtj3GSb4cBhFvRxJBK4rwP45OmHgh5g1CEFiMS-KByhPcxpNzell3JsrRiFm-yAYHqthBWYbPZgQTCK2U4rT2xZV7p3BcXE7KS68ETBXbNJiZtsQ5gN5wEh_z3qOIPc3LffvreUzX54dAZEYqY5shRm53fDj81KFGBxwAWCd5qJ7b8d1uV83G6m-IpqaLwO2bqYXFHw2MEcA5oufoNf18Ylp-NIsEQ_WAS1Movy88A54aqtsrNyxg&category=acrcp_v1_48&sig=AOD64_04fTk5JFEnLXxNkpP3ovn98-bETQ&adurl=,,,,,,,,,Unknown,Unknown
LODGE-00141,OYO 1859 Rancabali Residence,Santai,,,91.0,,-6.8877875,107.5654405,106320.0,,,,,"Penginapan berjenis Hotel bernama OYO 1859 Rancabali Residence berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi, Air conditioning.",,Hotel,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788171/muterbandung/penginapan/LODGE-00141_main.jpg,https://www.oyorooms.com/h/85033?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_KBB006&latitude=-6.88779&longitude=107.5654&locale=id,,,,,,,,,Unknown,Unknown
