location_name,total_ulasan,avg_sentimen_skor,avg_rating,ulasan_positif,ulasan_negatif,sentimen_label_lokasi,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available
Sanghyang Kenit,53,0.9433962264150944,4.566037735849057,51,1,Sangat Positif,0.9433962264150944,tfidf_linearsvc,run_nlp_pipeline_v2,True
Sunrise Point Cukul,94,0.9361702127659576,4.808510638297872,90,2,Sangat Positif,0.9361702127659576,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Musik,31,0.935483870967742,4.612903225806452,29,0,Sangat Positif,0.935483870967742,tfidf_linearsvc,run_nlp_pipeline_v2,True
Puncak Bukit Kujang Gunung Bohong,46,0.9347826086956522,4.826086956521739,44,1,Sangat Positif,0.9347826086956522,tfidf_linearsvc,run_nlp_pipeline_v2,True
Gunung Puntang,30,0.9333333333333332,4.733333333333333,29,1,Sangat Positif,0.9333333333333332,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Aseupan,150,0.9333333333333332,4.76,142,2,Sangat Positif,0.9333333333333332,tfidf_linearsvc,run_nlp_pipeline_v2,True
Amazing Artgames,200,0.93,4.625,190,4,Sangat Positif,0.93,tfidf_linearsvc,run_nlp_pipeline_v2,True
"Gereja Katedral Bandung, Santo Petrus",198,0.9242424242424242,4.808080808080808,190,7,Sangat Positif,0.9242424242424242,tfidf_linearsvc,run_nlp_pipeline_v2,True
Java Preanger Gunung Tilu,13,0.9230769230769232,4.538461538461538,12,0,Sangat Positif,0.9230769230769232,tfidf_linearsvc,run_nlp_pipeline_v2,True
Masjid Jami' Al Baakhirah,48,0.9166666666666666,4.75,45,1,Sangat Positif,0.9166666666666666,tfidf_linearsvc,run_nlp_pipeline_v2,True
Sungai Palayangan Rafting,12,0.9166666666666666,4.416666666666667,11,0,Sangat Positif,0.9166666666666666,tfidf_linearsvc,run_nlp_pipeline_v2,True
Gunung Putri Lembang,47,0.9148936170212766,4.659574468085107,45,2,Sangat Positif,0.9148936170212766,tfidf_linearsvc,run_nlp_pipeline_v2,True
Venus Cimahi,398,0.9095477386934674,4.736180904522613,374,12,Sangat Positif,0.9095477386934674,tfidf_linearsvc,run_nlp_pipeline_v2,True
Observatorium Bosscha,54,0.9074074074074074,4.833333333333333,51,2,Sangat Positif,0.9074074074074074,tfidf_linearsvc,run_nlp_pipeline_v2,True
Stone Garden Citatah,54,0.9074074074074074,4.62962962962963,50,1,Sangat Positif,0.9074074074074074,tfidf_linearsvc,run_nlp_pipeline_v2,True
Gunung Batu Lembang,53,0.9056603773584906,4.735849056603773,49,1,Sangat Positif,0.9056603773584906,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Superhero,200,0.905,4.55,185,4,Sangat Positif,0.905,tfidf_linearsvc,run_nlp_pipeline_v2,True
Museum Inggit Garnasih,292,0.9041095890410958,4.77054794520548,267,3,Sangat Positif,0.9041095890410958,tfidf_linearsvc,run_nlp_pipeline_v2,True
Wot Batu,52,0.903846153846154,4.75,49,2,Sangat Positif,0.903846153846154,tfidf_linearsvc,run_nlp_pipeline_v2,True
Vihara Satya Budhi,82,0.902439024390244,4.719512195121951,77,3,Sangat Positif,0.902439024390244,tfidf_linearsvc,run_nlp_pipeline_v2,True
The Lodge Maribaya,265,0.9018867924528302,4.754716981132075,249,10,Sangat Positif,0.9018867924528302,tfidf_linearsvc,run_nlp_pipeline_v2,True
Teras Sunda Cibiru,377,0.9018567639257294,4.607427055702917,347,7,Sangat Positif,0.9018567639257294,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Langit Pangalengan (Sunrise Point & Camping Ground),200,0.9,4.63,186,6,Sangat Positif,0.9,tfidf_linearsvc,run_nlp_pipeline_v2,True
Cihampelas Walk,200,0.9,4.685,189,9,Sangat Positif,0.9,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kebun Binatang Bandung,213,0.8967136150234741,4.549295774647887,196,5,Sangat Positif,0.8967136150234741,tfidf_linearsvc,run_nlp_pipeline_v2,True
Cimahi Techno Park,410,0.8951219512195122,4.587804878048781,377,10,Sangat Positif,0.8951219512195122,tfidf_linearsvc,run_nlp_pipeline_v2,True
Mata Air Cikandung,19,0.8947368421052632,4.631578947368421,17,0,Sangat Positif,0.8947368421052632,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kebun Begonia Lembang,463,0.8941684665226782,4.578833693304536,425,11,Sangat Positif,0.8941684665226782,tfidf_linearsvc,run_nlp_pipeline_v2,True
Museum Pos Indonesia,198,0.8939393939393939,4.6767676767676765,182,5,Sangat Positif,0.8939393939393939,tfidf_linearsvc,run_nlp_pipeline_v2,True
The Kings Shopping Centre,200,0.89,4.55,185,7,Sangat Positif,0.89,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kampung Cireundeu,54,0.8888888888888888,4.62962962962963,51,3,Sangat Positif,0.8888888888888888,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Vanda,9,0.8888888888888888,4.555555555555555,8,0,Sangat Positif,0.8888888888888888,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kampung Adat Cikondang,9,0.8888888888888888,4.777777777777778,8,0,Sangat Positif,0.8888888888888888,tfidf_linearsvc,run_nlp_pipeline_v2,True
Pandiga Educreation Sports,18,0.8888888888888888,4.222222222222222,17,1,Sangat Positif,0.8888888888888888,tfidf_linearsvc,run_nlp_pipeline_v2,True
Cadas Pangeran Sumedang,336,0.8869047619047619,4.636904761904762,312,14,Sangat Positif,0.8869047619047619,tfidf_linearsvc,run_nlp_pipeline_v2,True
Nuansa Riung Gunung,53,0.8867924528301887,4.69811320754717,49,2,Sangat Positif,0.8867924528301887,tfidf_linearsvc,run_nlp_pipeline_v2,True
Driam Riverside,53,0.8867924528301887,4.735849056603773,50,3,Sangat Positif,0.8867924528301887,tfidf_linearsvc,run_nlp_pipeline_v2,True
Braga Citywalk,200,0.885,4.57,182,5,Sangat Positif,0.885,tfidf_linearsvc,run_nlp_pipeline_v2,True
Penangkaran Rusa Ranca Upas,200,0.885,4.55,184,7,Sangat Positif,0.885,tfidf_linearsvc,run_nlp_pipeline_v2,True
Situ Cileunca Pangalengan Bandung,200,0.885,4.56,182,5,Sangat Positif,0.885,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Wisata Alam Cimanggu,26,0.8846153846153846,4.653846153846154,24,1,Sangat Positif,0.8846153846153846,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Dago,51,0.8823529411764706,4.509803921568627,46,1,Sangat Positif,0.8823529411764706,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Dewi Sartika,225,0.88,4.671111111111111,207,9,Sangat Positif,0.88,tfidf_linearsvc,run_nlp_pipeline_v2,True
Selasar Sunaryo Art Space,199,0.8793969849246231,4.592964824120603,183,8,Sangat Positif,0.8793969849246231,tfidf_linearsvc,run_nlp_pipeline_v2,True
Gedung Indonesia Menggugat,40,0.875,4.75,36,1,Sangat Positif,0.875,tfidf_linearsvc,run_nlp_pipeline_v2,True
Monumen Perjuangan Rakyat Jawa Barat,8,0.875,4.625,7,0,Sangat Positif,0.875,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Lansia,199,0.8743718592964824,4.442211055276382,177,3,Sangat Positif,0.8743718592964824,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Anom,162,0.8703703703703703,4.5,146,5,Sangat Positif,0.8703703703703703,tfidf_linearsvc,run_nlp_pipeline_v2,True
