location_id,location_name,gallery_index,source_image_url,media_storage_url,media_public_id,media_upload_status,media_upload_error,match_confidence,matched_title
LOC-073,Ranca Upas Ciwidey,4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGp4bAGTc0uQa_7Mm1hsxKqE68ftSdcvzUm2FH5TtWRTiMJvLZgLTAcEfIOlxC86m3ZQkm9fYT0NclJRKOrye8lEysKj--9cjgvutVlbTMrvO9tjPClBoD2EunihI708w-0645yJnWgNuBo=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780130/muterbandung/wisata/LOC-073_gallery_04.jpg,muterbandung/wisata/LOC-073_gallery_04,uploaded,,exact,Ranca Upas Ciwidey
LOC-074,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey,1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKlj7dGlnsCbbMO3fSB-qD3fobKo30vrzy-NX-8puduBLDg0nFPkJBsF4k_FlE6JF_zURuyypfBcWKnPJUH2GNHG0vcLsIoMD2mhqOcqkWp2kSjSIIpmP5nGWTgEI_js_Fm4zP=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780132/muterbandung/wisata/LOC-074_gallery_01.jpg,muterbandung/wisata/LOC-074_gallery_01,uploaded,,exact,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey
LOC-074,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey,2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEj0B2YNePV49gatVDAE2Sh7HUnW3eaWquFv83goqtuNZqp-kEOebYvxzzXmV9x2ow7GSxGOGEFIpdLBZSdbHf2RXh57ACOHvTVUCqtpcYTMZEZUZMcue5A4s70QyEySgXWb9bZ=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780134/muterbandung/wisata/LOC-074_gallery_02.jpg,muterbandung/wisata/LOC-074_gallery_02,uploaded,,exact,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey
LOC-074,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyubZ7J8ujEveLATQOsfokOhVOaYN3kgaWKQWQjUhvM4FiZzw9rCbksRBT3neeERboFzE-_07ZgjTwLyoSCb_5UFcIHp6w6jpiNe-EECI-wWcEMKzNkFLl0CdKdqf0xXguEVrc=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780136/muterbandung/wisata/LOC-074_gallery_03.jpg,muterbandung/wisata/LOC-074_gallery_03,uploaded,,exact,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey
LOC-074,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey,4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7MCk-SyaaOWkYeOY2Fg2lGH_HFDIza2yIbrmS3mws4fOhtUv1jaCJHI5pwtdx9JFY59i5s5CNFpZE17PaK4mROhh49h8fRqajJ1KIzxf3x5c471fgqUB9ZhNPtKCelKC5xHMU=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780138/muterbandung/wisata/LOC-074_gallery_04.jpg,muterbandung/wisata/LOC-074_gallery_04,uploaded,,exact,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey
LOC-075,Sanghyang Heuleut,1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtRw3qEv4YP18JbHT_ERR0yVvIyG7aztcmxicOF0dq1CDUFqbh_6S9KEaeH241g5wwvRghMmn9BOhX4exT4LoINSN5KT6lH_Ea4foaLZI9bJ87ls2-iEPiC02VAuc6LrBPJ5dh=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780140/muterbandung/wisata/LOC-075_gallery_01.jpg,muterbandung/wisata/LOC-075_gallery_01,uploaded,,exact,Sanghyang Heuleut
LOC-075,Sanghyang Heuleut,2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmBTeJQnX2NWibe1BoI5MyI84zlzvrl_0nxxPEr1FXQumxqrgUtouSsfVQb1Tlpa-L-s5awxl4EZXTz7S7YbQWcG_pTgyYl6CEuZfc2HEd07vU7XvRAs7oSJzHAtRvNl_8V-uqlA=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780142/muterbandung/wisata/LOC-075_gallery_02.jpg,muterbandung/wisata/LOC-075_gallery_02,uploaded,,exact,Sanghyang Heuleut
LOC-075,Sanghyang Heuleut,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGj07OJZm6tNgvlSBNQP0MD5Jkt0PzZnLTMxqT8XuXKE9vLi5EDw18jgygp2jY76HYPbnISfdbCnJqbVuwtQvQ6pSoB3qIneJuu_5GB71qdfG_ep1JBU5vCtPbTHVnNzGhSZVo=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780144/muterbandung/wisata/LOC-075_gallery_03.jpg,muterbandung/wisata/LOC-075_gallery_03,uploaded,,exact,Sanghyang Heuleut
LOC-075,Sanghyang Heuleut,4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEHEB65v2KMTis6GHJp_S6y8MdutMx3Hg5JZBnIen4Pv9vH7N8rgrvr7bQrZQdCGAjdhZnTUpqxkfYoohFvlci35PjuvM4r0of0I2QncwBJGV-fD3F_gVOqGWu_xiCOtZopPhieVA=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780146/muterbandung/wisata/LOC-075_gallery_04.jpg,muterbandung/wisata/LOC-075_gallery_04,uploaded,,exact,Sanghyang Heuleut
LOC-076,Sanghyang Kenit,1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8xlIJu-Xe5paYJW4S6g2irZIa2IgJv8V43fRm7JZxqIbTw_i0DE7bn31_fmLeCly0GelzQGlB-OeCtlWbyJUo3rdIA49bD72UAR_w-PVKiYVDG4p_bFn2D3j0azC-EA77uUc=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780148/muterbandung/wisata/LOC-076_gallery_01.jpg,muterbandung/wisata/LOC-076_gallery_01,uploaded,,exact,Sanghyang Kenit
