penginapan_id,name,property_type,overall_rating,reviews,price_lowest,price_display,amenities,primary_image_url,link,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,rating_sentiment_score,name_looks_detail_listing,capacity_min_estimated,capacity_max_estimated,capacity_confidence,attention_score,attention_level,attention_reasons,recommended_data_action,refined_detail_listing_group,refined_detail_listing_action,refined_detail_listing_priority,refined_price_status,refined_price_action,refined_price_note,refined_low_quality_status,refined_low_quality_action,refined_low_quality_note,refined_overall_data_action
LODGE-00452,Villa Rumah Hijau Syariah,villa,4.8,12.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHEkQWQkU9g_1bVZ98I1hDEUg2WdCnR3xk9EtH1PJNp97ehW6ZycUXD3XhcVkHejEhzHNRHgp12RRqzdqwU_NP-Xn3OC4AzmPiFrq8brSoR2wxThzPkWSC6aEovxF1MSOLOB2w4=s10000,,0.44,low,10,0.6500017631844239,Positif,medium_review_confidence,1.0,False,4,8,low_capacity_confidence,10,high,low_data_quality|missing_price|missing_amenities|missing_source_link|capacity_low_confidence_for_unit_property,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00453,Villa hegar by Kavastay,villa,5.0,2.0,,,,https://lh5.googleusercontent.com/p/ZFtPvzmKVJhQH949A8LTgg=s10000,,0.44,low,1,0.5962829481744077,Positif,low_review_confidence,1.0,False,4,8,low_capacity_confidence,10,high,low_data_quality|missing_price|missing_amenities|missing_source_link|capacity_low_confidence_for_unit_property,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00454,WISMA KOMANDO2,hotel,4.7,83.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGyAVTp2UzrKzUXkXYJVXBpQZ7eMdYri-d9MmC7JiKdR-xIetInQDY3avL2lMnKSDu1p2qLShyrPSDCZIp5--l2sBam4UwBrjldlweoRgE-v4i441yVeb1NHj_DLWpZ9N3NMTYO=s10000,,0.44,low,16,0.6669705464441422,Positif,high_review_confidence,0.927710843373494,False,1,2,low_capacity_confidence,9,high,low_data_quality|missing_price|missing_amenities|missing_source_link,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00455,hotel tirtasari,hotel,4.0,2.0,,,,https://lh5.googleusercontent.com/p/LahSPP1kCNTm8xHIFTRmRQ=s10000,,0.44,low,0,,Belum tersedia,missing_review_confidence,0.5,False,1,2,low_capacity_confidence,9,high,low_data_quality|missing_price|missing_amenities|missing_source_link,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00456,EXPRESS O 91033 Efoproperti,hotel,,,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE_SrRloQ-mmaq0ekC9Fpa5Piu9gLC3ISilbCOX7-zXjC_rSxQpC4PXPOe4FewStQyYMIy2QsLxkGkTVR2fkZZzfzRqTPnMHI83eoJ8X_LuhHHuOHwd9yppovevX-C6GrwkhJe_=s10000,https://www.oyorooms.com/h/175039?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BDG267&latitude=-6.88916&longitude=107.5663&locale=id,0.32,low,0,,Belum tersedia,missing_review_confidence,,False,1,2,low_capacity_confidence,12,high,low_data_quality|missing_rating_and_price|missing_any_sentiment|missing_amenities,manual_or_source_completion,,,,,,,core_fields_missing,manual_rating_price_completion,rating dan harga belum cukup untuk ranking kuat,manual_core_completion_before_primary_ranking
LODGE-00457,OYO 93920 Apartemen Gateway Pasteur By D Carpenter,apartment,,,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE18ZHVHdGcw74J0UN0DxgDx4-pTgcORB4cXpAfQoThYGayvxjtmvjX7w18t8tYMicR0RRl3_o8Q7zYcZvck6__MnvwzMpbqSCOwSq-NEqkCAhL95yPSjuJk9UAKsMc_SP6Qkc_=s10000,https://www.oyorooms.com/239156/,0.32,low,0,,Belum tersedia,missing_review_confidence,,False,2,4,low_capacity_confidence,15,high,low_data_quality|missing_rating_and_price|missing_any_sentiment|missing_amenities|property_type_maybe_needs_review|capacity_low_confidence_for_unit_property,manual_or_source_completion,,,,,,,core_fields_missing,manual_rating_price_completion,rating dan harga belum cukup untuk ranking kuat,manual_core_completion_before_primary_ranking
LODGE-00458,OYO 93922 Apartemen Gateway Pasteur By Sinta,apartment,,,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFv7TQmbhYv93kdq6Iv0Je37UmArJAhTGs-9VuUKHeUKw7PErqkKL03ePSqukCEKyc6kbnGV9Gy-gDeZCKHvRENkLoi0ROv16dAgTWpoAmC9DtEXl0rX6c3kE8CfpviTfZEMx_H=s10000,https://www.oyorooms.com/h/239158?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BDG436&latitude=-6.88904&longitude=107.5634&locale=id,0.32,low,0,,Belum tersedia,missing_review_confidence,,False,2,4,low_capacity_confidence,15,high,low_data_quality|missing_rating_and_price|missing_any_sentiment|missing_amenities|property_type_maybe_needs_review|capacity_low_confidence_for_unit_property,manual_or_source_completion,,,,,,,core_fields_missing,manual_rating_price_completion,rating dan harga belum cukup untuk ranking kuat,manual_core_completion_before_primary_ranking
LODGE-00459,OYO 93934 Apartemen Gateway Pasteur By Groom,apartment,,,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFba31qk70GpJehagUNpa-oC81hekzaR0Ge1_oJ9LuSBjpxlwGWiy6-OV3ZJgnFfuMgBwZHQEMiWx2WepA0EgBDrUCH7iLefTWdAGAMXDwnNdK4WWo2U2k25mpB0lX7qG1P5pbq=s10000,https://www.oyorooms.com/239181/,0.32,low,0,,Belum tersedia,missing_review_confidence,,False,2,4,low_capacity_confidence,15,high,low_data_quality|missing_rating_and_price|missing_any_sentiment|missing_amenities|property_type_maybe_needs_review|capacity_low_confidence_for_unit_property,manual_or_source_completion,,,,,,,core_fields_missing,manual_rating_price_completion,rating dan harga belum cukup untuk ranking kuat,manual_core_completion_before_primary_ranking
LODGE-00460,OYO 94150 Gateway Apartment Pasteur By Eldian,apartment,,,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUnztxC8OBsqp8oA3qefjeTrcA7V76-SeRAJg-VXZmoam6K7OzlUEJ7VfnYIQc_DXykg1TkQTit9AJI6NllBN5ezNDH_vmpT2LV-IgX_vkxuBVQYcUjq4nmhl_hQ-TtNL-iLt_3j8rVP3z=s10000,https://www.oyorooms.com/h/246854?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BDG465&latitude=-6.88931&longitude=107.5664&locale=id,0.32,low,0,,Belum tersedia,missing_review_confidence,,False,2,4,low_capacity_confidence,15,high,low_data_quality|missing_rating_and_price|missing_any_sentiment|missing_amenities|property_type_maybe_needs_review|capacity_low_confidence_for_unit_property,manual_or_source_completion,,,,,,,core_fields_missing,manual_rating_price_completion,rating dan harga belum cukup untuk ranking kuat,manual_core_completion_before_primary_ranking
LODGE-00461,OYO 94155 Gateway Pasteur Apartment By Goodtime,apartment,,,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtwe_mbvk0-knsa2UfInVSd-wW1LQkZCfsvd6lZ6aRIh1C8GtwWwI1wyEUp63bgPZ6qUCFkT1-_MzfLyjooCfTKlAeMf_bHe1fqU9Wy5DwxiXa5oMufbO5BwLxvv3WRspA6RzS=s10000,https://www.oyorooms.com/246895/,0.32,low,0,,Belum tersedia,missing_review_confidence,,False,2,4,low_capacity_confidence,15,high,low_data_quality|missing_rating_and_price|missing_any_sentiment|missing_amenities|property_type_maybe_needs_review|capacity_low_confidence_for_unit_property,manual_or_source_completion,,,,,,,core_fields_missing,manual_rating_price_completion,rating dan harga belum cukup untuk ranking kuat,manual_core_completion_before_primary_ranking
