penginapan_id,name,property_type,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,amenities,primary_image_url,link,data_quality_score,data_quality_label,primary_dedupe_status,primary_dedupe_group_size,primary_dedupe_group_max_distance_km,primary_dedupe_keep_id,primary_dedupe_merged_from_ids,primary_dedupe_note,primary_dedupe_group_status,primary_dedupe_drop
LODGE-00740,Villa Ciwidey - Rumah Kayu,villa,villa,-7.1081,107.4257,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Dapur; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/agoda-homes/10005336/ade8e5a5a8b419a0865e6441cde89bb5.jpg?ca=9&ce=1,https://www.agoda.com/villa-ciwidey-agung-dbs/hotel/bandung-id.html,0.65,medium,drop_primary_exact_duplicate,2,0.0458,LODGE-00739,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00745,Villa Kayu Ciwidey,villa,villa,-7.1117,107.4235,kbb_tengah_barat,,,,,24,0.6766098269187113,Positif,high_review_confidence,Dapur; Parkir gratis,https://pix8.agoda.net/hotelImages/32714493/0/7f2896bfacd5827c58b5d56bb9bde351.jpeg?ce=0,https://www.agoda.com/villa-kayu-ciwidey/hotel/bandung-id.html,0.65,medium,drop_primary_exact_duplicate,2,0.0247,LODGE-00524,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00712,Rima Villa Ciwidey living,villa,villa,-7.0872,107.4662,kbb_tengah_barat,,,,,27,0.7182969358712651,Positif,high_review_confidence,Balkon; Dapur; Microwave; Pemanggang luar ruang; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/60146192/0/a6f634dc5e08b186b1785b4b40124f57.jpg?ce=0,https://www.agoda.com/rima-villa-ciwidey-living/hotel/bandung-id.html,0.65,medium,drop_primary_exact_duplicate,2,0.0455,LODGE-00579,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00757,Villa puncak bogor at kota bunga with pool privat,villa,villa,-6.8118,107.1454,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Kolam renang di dalam ruangan; Dapur; Pemanggang luar ruang; Parkir gratis,https://pix8.agoda.net/hotelImages/59056235/0/3d0ba459f6da064b3693cbe3644a718e.jpeg,https://www.agoda.com/villa-kota-bunga-puncak-bogor-4-kamar-free-ac/hotel/cianjur-id.html,0.65,medium,drop_primary_exact_duplicate,2,0.0,LODGE-00756,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00370,OYO 2183 Cibeureum Residence,hotel,hotel,-6.9106,107.5689,cimahi_baros_pasteur,3.7,199.0,,Rp 166.761,0,,Belum tersedia,missing_review_confidence,Parking; Free Wi-Fi,,https://www.google.com/aclk?sa=l&ai=DChsSEwi316if4ueUAxVEicIIHT_8KpEYACICCAEQCRoCamY&co=1&ase=2&gclid=EAIaIQobChMIt9eon-LnlAMVRInCCB0__CqREA0YByABEgJklPD_BwE&cid=CAASugHkaEZtj3GSb4cBhFvRxJBK4rwP45OmHgh5g1CEFiMS-KByhPcxpNzell3JsrRiFm-yAYHqthBWYbPZgQTCK2U4rT2xZV7p3BcXE7KS68ETBXbNJiZtsQ5gN5wEh_z3qOIPc3LffvreUzX54dAZEYqY5shRm53fDj81KFGBxwAWCd5qJ7b8d1uV83G6m-IpqaLwO2bqYXFHw2MEcA5oufoNf18Ylp-NIsEQ_WAS1Movy88A54aqtsrNyxg&category=acrcp_v1_48&sig=AOD64_04fTk5JFEnLXxNkpP3ovn98-bETQ&adurl=,0.6,medium,drop_primary_exact_duplicate,2,0.0009,LODGE-00138,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00718,Shakilla House 6A Syariah Cigalumpit Cianjur,vacation_rental,vacation_rental,-6.8162,107.1715,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/46046831/0/62dedf76096a79213a24cbc3e45b6785.jpeg?ce=0,https://www.agoda.com/shakilla-house-6a-syariah-cigalumpit-cianjur-h46046831/hotel/cianjur-id.html,0.65,medium,drop_primary_exact_duplicate,2,0.0,LODGE-00717,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00384,Valore Hotel Cimahi,hotel,hotel,-6.8978,107.5371,cimahi_baros_pasteur,4.0,2435.0,,Rp 367.272,0,,Belum tersedia,missing_review_confidence,Pool; Parking; Fitness center; Free Wi-Fi; Outdoor pool; Free breakfast,,https://www.google.com/aclk?sa=l&ai=DChsSEwi45Leq3eeUAxWNhVoFHTg1BogYACICCAEQCRoCdnU&co=1&ase=2&gclid=EAIaIQobChMIuOS3qt3nlAMVjYVaBR04NQaIEA0YByABEgIfTvD_BwE&cid=CAASugHkaBDuOMAIatyLAgffK9cK1AkUjQW9LH4orDZ0O9H0sQfncHsU8OSHv8_e018ioU6vazqdYUagu8GGTWzzR8mE4IIKo3req7BqnBtigUECn7743azfksMf0SspbaCP634pmulAhw01Dy3DHj_gLsNEQ2zV_Q9fgUOL_SpvEh08lieKOC4pYwq5XPs81eGR-kyPdR0YEkOMeWhX-yIYHZ3uIO9vrMSIZIpNz3fkNbkpGReNH99jid5R1Nw&category=acrcp_v1_48&sig=AOD64_0QjD02zr0oYR5DNXB6MNUlfRhQ-w&adurl=,0.6,medium,drop_primary_exact_duplicate,2,0.0048,LODGE-00053,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00799,Regan Luxcamp by Digihub Hospitality,vacation_rental,vacation_rental,-7.1844,107.5469,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,,https://media.staticontent.com/media/pictures/f2a9eb86-561d-4a8d-9c07-7b096ebb017f,https://www.us.despegar.com/hotels/h-6501848,0.55,medium,drop_primary_exact_duplicate,2,0.0,LODGE-00541,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00315,Riyadhi 1 Glamping,vacation_rental,vacation_rental,-6.8036,107.5482,cimahi_baros_pasteur,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Bak air panas; Pemanggang luar ruang; Parkir gratis,https://q-xx.bstatic.com/xdata/images/hotel/max500/629966550.jpg?k=8e050ddea5ff66e82261e217473aeb9d32920c1fac95f42d1f0c51be64c0132a&o=,https://www.agoda.com/riyadhi-1-glamping/hotel/pasirlangu-id.html,0.65,medium,drop_primary_exact_duplicate,2,0.04,LODGE-00314,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00726,Suka Rasa Endah Cottage,vacation_rental,vacation_rental,-7.0835,107.4828,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Cocok untuk anak; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/546433/-1/6e7b9a4b3d50f8b69395f54b3bed649a.jpg?ca=9&ce=1&s=312x,https://www.bluepillow.com/search/62866484f679d12a3a42f685?dest=ago&cat=Vacation+rental+(other)&lat=-7.08351&lng=107.48276&language=en,0.65,medium,drop_primary_exact_duplicate,2,0.0,LODGE-00542,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
