_excel_row,penginapan_id,name,property_type,overall_rating,reviews,p2_sentiment_policy_status,exact_google_maps_url,url_status
35,LODGE-00569,Homestay murah ciwidey,guest_house,5.0,27.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Homestay+murah+ciwidey+-7.1195%2C107.4319&query_place_id=ChIJXcZOdbKNaC4R1MGy0cbKw1o,valid_google_maps_like
36,LODGE-00905,G10 Guest House Near Asia Afrika Bandung,guest_house,4.585,23.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=G10+Guest+House+Near+Asia+Afrika+Bandung+-6.9296%2C107.6152&query_place_id=ChIJKX35I4LoaC4R5f9QXt_mGv4,valid_google_maps_like
37,LODGE-00568,Homestay VV&V,guest_house,5.0,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Homestay+VV%26V+-7.1353%2C107.4067&query_place_id=ChIJu3sP5oyMaC4RWdvtQoAJr2Y,valid_google_maps_like
38,LODGE-01022,Roemah Asri Villa - Resor Dago Pakar,villa,4.585,35.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Roemah+Asri+Villa+-+Resor+Dago+Pakar+-6.8677%2C107.6465&query_place_id=ChIJ1fddIGvnaC4RGryVUdUkXhA,valid_google_maps_like
39,LODGE-01243,Dago Escape Villa by Kozystay - Bandung,villa,4.675,21.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Dago+Escape+Villa+by+Kozystay+-+Bandung+-6.856%2C107.6544&query_place_id=ChIJG3aSC0XnaC4RiJCYlE_BMis,valid_google_maps_like
40,LODGE-01233,Calma Villa by Kozystay - Bandung,villa,5.0,16.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Calma+Villa+by+Kozystay+-+Bandung+-6.8314%2C107.629&query_place_id=ChIJkfSTuNvgaC4RUctWoaacAKc,valid_google_maps_like
41,LODGE-01277,Jasmine Cozy Villa 3 Bedrooms With a Private Heated Swimming Pool and a Billiard Table,villa,3.525,16.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Jasmine+Cozy+Villa+3+Bedrooms+With+a+Private+Heated+Swimming+Pool+and+a+Billiard+Table+-6.8674%2C107.6367&query_place_id=ChIJfYKU7xXnaC4RobsGTRUHZPk,valid_google_maps_like
42,LODGE-01281,Kirei Mountain View Villa 7 Bedrooms With a Private Swimming Pool,villa,4.1692,13.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Kirei+Mountain+View+Villa+7+Bedrooms+With+a+Private+Heated+Swimming+Pool+-6.8581%2C107.6496&query_place_id=ChIJKZVQk0bnaC4RMNfgs3gAIiM,valid_google_maps_like
43,LODGE-01321,Sunset City View Villa 5 Bedrooms With a Private Heated Swimming Pool,villa,4.5909,11.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Sunset+City+View+Villa+5+Bedrooms+With+a+Private+Heated+Swimming+Pool+-6.8617%2C107.6498&query_place_id=ChIJf5-gg0HnaC4R0Y9hsqUTxCw,valid_google_maps_like
44,LODGE-01194,The Joglo Villa,villa,4.35,9.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=The+Joglo+Villa+-6.8542%2C107.6443&query_place_id=ChIJla_37zfnaC4RT-oQP8SC6TE,valid_google_maps_like
