parent_penginapan_id,hotel_review_count_analyzed,hotel_sentiment_score,hotel_sentiment_confidence_mean,positive_review_count,neutral_review_count,negative_review_count,review_target_count,hotel_adjusted_sentiment_score,hotel_sentiment_label,hotel_adjusted_sentiment_label,hotel_review_confidence,hotel_review_confidence_label,hotel_sentiment_model_source,hotel_sentiment_model_version,hotel_sentiment_prior_score,hotel_sentiment_review_count_p95
LODGE-01516,6,0.6152344072070883,0.9270347081202885,5,0,1,1,0.592221253848325,Positif,Positif,0.5160936430824806,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01517,17,0.30670863309180946,0.8650455006476205,12,0,5,1,0.517716873654096,Positif,Positif,0.7665834371229969,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01519,8,0.631693360248392,0.8986529472232478,7,0,1,1,0.5952850112801863,Positif,Positif,0.582747172236255,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01520,18,0.7704218291233105,0.911176869298719,15,2,1,1,0.6373614220071068,Positif,Positif,0.7809231275810943,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01533,259,0.678674393681626,0.9169708981432563,225,0,34,1,0.6642383551320543,Positif,Positif,1.0,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01536,21,0.9434924021587564,0.9597413147852069,21,0,0,1,0.694173580529543,Positif,Positif,0.819805252288119,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01537,21,0.7294161784790939,0.8741070696129427,20,0,1,1,0.6308552608496429,Positif,Positif,0.819805252288119,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01538,16,0.6100695070708962,0.913916284818002,13,1,2,1,0.5944559982636063,Positif,Positif,0.7514239015988126,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01539,12,0.49989593767600704,0.9441497219122161,9,0,3,1,0.5721247584576734,Positif,Positif,0.6802750162216068,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01540,13,0.9123887894904821,0.9365119799995922,13,0,0,1,0.6560958418355545,Positif,Positif,0.6999299079692226,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01541,17,0.2975058471452272,0.8613876015893184,11,1,5,1,0.5153818384139184,Positif,Positif,0.7665834371229969,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01545,24,0.43758683965207906,0.8649837986858953,19,0,5,1,0.5402036205934266,Positif,Positif,0.8537091765993627,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01547,15,0.8282030495164471,0.9269909780727053,14,1,0,1,0.6445543002309289,Positif,Positif,0.735345059546968,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01549,22,0.8438065894601557,0.9489240341788022,21,0,1,1,0.667176788060932,Positif,Positif,0.8315947339852858,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01551,17,0.7812356420634781,0.9313957749699433,15,1,1,1,0.6381192490648179,Positif,Positif,0.7665834371229969,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01558,12,0.8738343922686193,0.9159658268386615,12,0,0,1,0.6444999432175338,Positif,Positif,0.6802750162216068,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01559,14,0.9225240079552036,0.945092341875166,14,0,0,1,0.6623174981818206,Positif,Positif,0.7182281744178088,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01560,8,0.9650410304072242,0.9696301454903368,8,0,0,1,0.6412640002676114,Positif,Positif,0.582747172236255,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
