penginapan_id,name,property_type,property_type_final,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,listing_policy_status,ranking_tier_after_p2,ranking_tier_after_p3,primary_ranking_allowed_after_p3,secondary_ranking_allowed_after_p3,drop_from_dataset_after_p3,manual_validation_needed_after_p3,manual_validation_topic_after_p3,p3_validation_applied,p3_decision,p3_note,candidate_parent_name,same_name_count_p3
LODGE-01061,Tulip Guest House - Deluxe Double Room,guest_house,guest_house,guest_house,-6.9047,107.5906,kota_bandung,4.95,8.0,413353.0,Rp 413.353,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01062,Tulip Guest House - Superior Twin Room,guest_house,guest_house,guest_house,-6.9047,107.5906,kota_bandung,4.95,8.0,413144.0,Rp 413.144,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01112,Bantal Guling Trans - Double Room with Private Bathroom,vacation_rental,vacation_rental,vacation_rental,-6.9302,107.6395,kota_bandung,2.5,8.0,188474.0,Rp 188.474,0.95,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01126,G10 Guest House Near Asia Afrika Bandung - Deluxe Single Room,guest_house,guest_house,guest_house,-6.9296,107.6152,kota_bandung,5.0,8.0,314182.0,Rp 314.182,0.95,high,0,,Belum tersedia,missing_review_confidence,1,1,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01156,No303 - Economy Double Room,vacation_rental,vacation_rental,vacation_rental,-6.9286,107.6379,kota_bandung,4.75,8.0,523875.0,Rp 523.875,0.95,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01169,RedDoorz @ Buah Batu 3 - Double Room,hotel,hotel,hotel,-6.9407,107.629,kota_bandung,1.5,3.0,137477.0,Rp 137.477,0.95,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01170,RedDoorz @ Kiaracondong - Economy Room (RedDoorz),hotel,hotel,hotel,-6.9427,107.6416,kota_bandung,3.55,8.0,188474.0,Rp 188.474,0.95,high,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01175,RedDoorz Plus near Pasundan University - Economy Double Room,hotel,hotel,hotel,-6.9277,107.6129,kota_bandung,1.5,1.0,251061.0,Rp 251.061,0.95,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01176,RedDoorz near IPDN 2 - Economy Room,hotel,hotel,hotel,-6.9288,107.7621,kota_bandung,2.65,3.0,296530.0,Rp 296.530,0.95,high,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01312,Ronia Mountain Villa Lembang - Double Room with Garden View,villa,villa,villa,-6.8218,107.6265,kota_bandung,4.0,12.0,366070.0,Rp 366.070,0.9,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Ronia Mountain Villa Lembang,1
