penginapan_id,hotel_review_count_analyzed,hotel_sentiment_score,hotel_sentiment_confidence_mean,positive_review_count,neutral_review_count,negative_review_count,review_target_count,hotel_adjusted_sentiment_score,hotel_sentiment_label,hotel_adjusted_sentiment_label,hotel_review_confidence,hotel_review_confidence_label,hotel_sentiment_model_source,hotel_sentiment_model_version,hotel_sentiment_prior_score,hotel_sentiment_review_count_p95
LODGE-00216,7,0.7740799040228087,0.8723841703133891,7,0,0,1,0.6475976169427143,Positif,Positif,0.6460148371100896,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00345,18,0.5753779021775369,0.9272151261999103,15,0,3,1,0.6154603981878046,Positif,Positif,0.9147414002175752,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00436,2,0.3829050316732027,0.9021451194749044,1,1,0,1,0.6203906711715665,Positif,Positif,0.3413030972429927,low_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00438,21,0.9235013576092926,0.9451289488694661,21,0,0,1,0.7167328640474676,Positif,Positif,0.9602863302391856,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00686,18,0.7118285760937663,0.9194696731618043,16,0,2,1,0.6515796942244536,Positif,Positif,0.9147414002175752,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00818,13,0.6123627204742798,0.858156049542221,10,1,2,1,0.6262733365673127,Positif,Positif,0.8198692565977803,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00819,24,0.91764767434624,0.9413638472446592,24,0,0,1,0.7232168786741191,Positif,Positif,1.0,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00823,19,0.12203339295234476,0.9236162358757455,11,1,7,1,0.4900454971546319,Netral,Positif,0.9306765580733931,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00870,19,0.7081915910714613,0.8758080583401803,16,0,3,1,0.6514513777961278,Positif,Positif,0.9306765580733931,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00871,21,0.4909165179318135,0.870721030442674,16,0,5,1,0.5887852354104668,Positif,Positif,0.9602863302391856,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00883,21,0.26868100708821396,0.8739736900280064,13,1,7,1,0.5230536054426415,Positif,Positif,0.9602863302391856,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00887,20,0.9320895873700346,0.9470352710257164,20,0,0,1,0.7162328083567964,Positif,Positif,0.9458340748040764,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00893,19,0.8357390755143519,0.902333350006629,18,0,1,1,0.6865731488746049,Positif,Positif,0.9306765580733931,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00894,21,0.847196714184783,0.9452860122703988,20,0,1,1,0.6941638850064155,Positif,Positif,0.9602863302391856,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00896,9,0.34461121116433757,0.8199654306401517,7,0,2,1,0.5863729786110863,Positif,Positif,0.7153382790366967,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00900,14,0.4798172159140527,0.8355080578055983,10,0,4,1,0.5970616540683092,Positif,Positif,0.8413030972429927,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00902,22,0.8812070617666179,0.9368661430944937,21,0,1,1,0.7066813916172312,Positif,Positif,0.9740960467331898,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00904,21,0.7607713983197397,0.9040288033495316,20,0,1,1,0.6686014676378815,Positif,Positif,0.9602863302391856,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00910,23,0.9187040550572343,0.9425244492891004,23,0,0,1,0.7208862753957732,Positif,Positif,0.9873179343530823,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00911,28,0.8504566800317486,0.9163017064914355,28,0,0,1,0.7090678445956925,Positif,Positif,1.0,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00914,20,0.45585764373168747,0.8734073977664378,15,0,5,1,0.58016653874584,Positif,Positif,0.9458340748040764,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00916,25,0.8592537651742354,0.9416289363530781,24,0,1,1,0.7063446528924126,Positif,Positif,1.0,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00961,16,0.8393290497605814,0.9429918322796818,15,0,1,1,0.6806631762688539,Positif,Positif,0.8801872138612941,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-01015,14,0.5627834641755622,0.9169721779245039,11,1,2,1,0.6152105208755144,Positif,Positif,0.8413030972429927,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-01026,15,0.9446366238301549,0.9564533326983976,15,0,0,1,0.7025239106927289,Positif,Positif,0.8613531161467861,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-01068,23,0.7008923300266628,0.9144588872762727,20,1,2,1,0.6522606633998397,Positif,Positif,0.9873179343530823,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-01118,17,0.7034265214915039,0.8767654877600821,16,0,1,1,0.648548592581054,Positif,Positif,0.8979444735226818,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-01124,19,0.6935432988875112,0.8843089379179084,17,0,2,1,0.6474177900933009,Positif,Positif,0.9306765580733931,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
