review_target_id,hotel_id,name,property_segment,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,rating_available,price_available,amenities_available,image_available,data_quality_score,review_scrape_priority,google_maps_search_query,google_maps_search_url,source_dataset
HREV-0022,HOTEL-117,OYO 93922 Apartemen Gateway Pasteur By Sinta,apartment,-6.8890438,107.5633593,,,missing_review_confidence,False,False,False,True,0.32,P0_missing_rating_review,"OYO 93922 Apartemen Gateway Pasteur By Sinta -6.8890438,107.5633593",https://www.google.com/maps/search/?api=1&query=OYO%2093922%20Apartemen%20Gateway%20Pasteur%20By%20Sinta%20-6.8890438%2C107.5633593,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0023,HOTEL-133,OYO 93923 Gateway Pasteur Apartment By,apartment,-6.8898271,107.5660289,,,missing_review_confidence,False,False,False,False,0.12,P0_missing_rating_review,"OYO 93923 Gateway Pasteur Apartment By -6.8898271,107.5660289",https://www.google.com/maps/search/?api=1&query=OYO%2093923%20Gateway%20Pasteur%20Apartment%20By%20-6.8898271%2C107.5660289,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0024,HOTEL-116,OYO 93934 Apartemen Gateway Pasteur By Groom,apartment,-6.8893414,107.5632282,,,missing_review_confidence,False,False,False,True,0.32,P0_missing_rating_review,"OYO 93934 Apartemen Gateway Pasteur By Groom -6.8893414,107.5632282",https://www.google.com/maps/search/?api=1&query=OYO%2093934%20Apartemen%20Gateway%20Pasteur%20By%20Groom%20-6.8893414%2C107.5632282,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0025,HOTEL-140,OYO 94027 Apartemen Gateway Pasteur,apartment,-6.889508,107.566363,,,missing_review_confidence,False,False,False,True,0.26,P0_missing_rating_review,"OYO 94027 Apartemen Gateway Pasteur -6.889508,107.566363",https://www.google.com/maps/search/?api=1&query=OYO%2094027%20Apartemen%20Gateway%20Pasteur%20-6.889508%2C107.566363,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0026,HOTEL-090,OYO 94150 Gateway Apartment Pasteur By Eldian,apartment,-6.8911577,107.5665668,,,missing_review_confidence,False,False,False,True,0.32,P0_missing_rating_review,"OYO 94150 Gateway Apartment Pasteur By Eldian -6.8911577,107.5665668",https://www.google.com/maps/search/?api=1&query=OYO%2094150%20Gateway%20Apartment%20Pasteur%20By%20Eldian%20-6.8911577%2C107.5665668,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0027,HOTEL-059,OYO 94155 Gateway Pasteur Apartment By Goodtime,apartment,-6.8911577,107.5665668,,,missing_review_confidence,False,False,False,True,0.32,P0_missing_rating_review,"OYO 94155 Gateway Pasteur Apartment By Goodtime -6.8911577,107.5665668",https://www.google.com/maps/search/?api=1&query=OYO%2094155%20Gateway%20Pasteur%20Apartment%20By%20Goodtime%20-6.8911577%2C107.5665668,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0028,HOTEL-095,OYO 94158 Gateway Pasteur Apartment By Iyan,apartment,-6.8911577,107.5665668,,,missing_review_confidence,False,False,False,True,0.32,P0_missing_rating_review,"OYO 94158 Gateway Pasteur Apartment By Iyan -6.8911577,107.5665668",https://www.google.com/maps/search/?api=1&query=OYO%2094158%20Gateway%20Pasteur%20Apartment%20By%20Iyan%20-6.8911577%2C107.5665668,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0029,HOTEL-172,R20 Apartment Daymentroom 2BR 0620 - Apartment with Mountain View,apartment,-6.89079,107.5656815,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"R20 Apartment Daymentroom 2BR 0620 - Apartment with Mountain View -6.890789986,107.5656815",https://www.google.com/maps/search/?api=1&query=R20%20Apartment%20Daymentroom%202BR%200620%20-%20Apartment%20with%20Mountain%20View%20-6.890789986%2C107.5656815,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0030,HOTEL-146,Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01 - Deluxe Room,apartment,-6.8903899,107.5658417,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01 - Deluxe Room -6.890389919,107.5658417",https://www.google.com/maps/search/?api=1&query=Redliving%20Apartement%20gateway%20Pasteur-TN%20Hospitality%20Tower%20Topaz%20C%20Bs%2001%20-%20Deluxe%20Room%20-6.890389919%2C107.5658417,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0031,HOTEL-169,Relaxing 1BR Gateway Pasteur Apartment near Exit Toll,apartment,-6.890552,107.5661621,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Relaxing 1BR Gateway Pasteur Apartment near Exit Toll -6.890552044,107.5661621",https://www.google.com/maps/search/?api=1&query=Relaxing%201BR%20Gateway%20Pasteur%20Apartment%20near%20Exit%20Toll%20-6.890552044%2C107.5661621,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
