penginapan_id,name,property_type,property_type_final,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,listing_policy_status,listing_policy_action,manual_decision,manual_note,ranking_tier_after_p1,primary_ranking_allowed_after_p1,secondary_ranking_allowed_after_p1,drop_from_dataset_after_p1,manual_validation_needed_after_p1,manual_validation_topic_after_p1
LODGE-00975,Patra Bandung Hotel,hotel,hotel,-6.8891,107.6137,kota_bandung,4.6,3065.0,783264.0,Rp 783.264,1.0,high,15,0.6351932370516551,Positif,medium_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00977,Platinum Yellow Bandung Villa 24 Pax Private Pool,villa,villa,-6.8578,107.654,kota_bandung,4.0,6.0,4544546.0,Rp 4.544.546,1.0,high,0,,Belum tersedia,missing_review_confidence,23,24,high_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00978,Promenade Hotel Bandung,hotel,hotel,-6.8969,107.6037,kota_bandung,3.9,1720.0,328495.0,Rp 328.495,1.0,high,22,0.5278870634975015,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00979,RedDoorz @ Arwiga Hotel near RS Hasan Sadikin Bandung,hotel,hotel,-6.893,107.5989,kota_bandung,3.9,161.0,156948.0,Rp 156.948,1.0,high,20,0.3219724179227533,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00980,RedDoorz @ Dago Asri 3,hotel,hotel,-6.8738,107.6128,kota_bandung,4.1,393.0,257836.0,Rp 257.836,1.0,high,16,0.5029741112774342,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00981,RedDoorz @ Gatot Subroto Street Bandung 3,hotel,hotel,-6.9289,107.6385,kota_bandung,3.1,151.0,125425.0,Rp 125.425,1.0,high,22,0.267548754386322,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00982,RedDoorz @ Hotel Arimbi Dewi Sartika Baru,hotel,hotel,-6.9298,107.6053,kota_bandung,3.8,1479.0,143352.0,Rp 143.352,1.0,high,16,0.3801867235307627,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00983,RedDoorz @ Kiaracondong,hotel,hotel,-6.9427,107.6419,kota_bandung,4.2,337.0,156786.0,Rp 156.786,1.0,high,16,0.5357243902820394,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00985,RedDoorz Hostel @ Dago 2,hotel,hotel,-6.8802,107.6164,kota_bandung,4.2,528.0,64046.0,Rp 64.046,1.0,high,18,0.3618288337670402,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00986,RedDoorz Plus @ Bagusrangin Street,hotel,hotel,-6.8978,107.6175,kota_bandung,4.0,304.0,178353.0,Rp 178.353,1.0,high,23,0.4397338458908818,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
