penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews,exact_google_maps_url,maps_match_name,maps_match_address,match_confidence,source_type
LODGE-00067,"Kyoto House - KBP with Onsen style pool, Warm water, Near Parahyangan Golf",vacation_rental,-6.8735,107.4698,4.85,10.0,https://www.google.com/maps/search/?api=1&query=Kyoto+House+-+KBP+with+Onsen+style+pool%2C+Warm+water%2C+Near+Parahyangan+Golf+-6.8735%2C107.4698&query_place_id=ChIJZyBcujf7aC4Rva4fgR2fH0M,"Kyoto House - KBP with Onsen style pool, Warm water, Near Parahyangan Golf","Cipeundeuy, Padalarang, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00097,Pasteur Beautiful Luxury Home - Vacation Home,vacation_rental,-6.8929,107.5749,4.4,10.0,https://www.google.com/maps/search/?api=1&query=Pasteur+Beautiful+Luxury+Home+-+Vacation+Home+-6.8929%2C107.5749&query_place_id=ChIJYxMEUH_maC4R9Rjpp9hKo0A,Pasteur Beautiful Luxury Home - Vacation Home,"Sukaraja, Cicendo, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01186,Skara by Kozystay - Bandung,vacation_rental,-6.9093,107.6101,3.8,9.0,https://www.google.com/maps/search/?api=1&query=Skara+by+Kozystay+-+Bandung+-6.9093%2C107.6101&query_place_id=ChIJ2-KwjjfmaC4Rtz5HRicux7E,Skara by Kozystay - Bandung,"Babakanciamis, Sumurbandung, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01184,Scandinavian Asia Afrika,vacation_rental,-6.9238,107.6182,3.75,8.0,https://www.google.com/maps/search/?api=1&query=Scandinavian+Asia+Afrika+-6.9238%2C107.6182&query_place_id=ChIJ4X1JmSvmaC4RrWRyeT4luYg,Scandinavian Asia Afrika,"Burangrang, Lengkong, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00541,Regan Luxcamp by Digihub Hospitality,vacation_rental,-7.1844,107.5469,4.2,7.0,https://www.google.com/maps/search/?api=1&query=Regan+Luxcamp+by+Digihub+Hospitality+-7.1844%2C107.5469&query_place_id=ChIJ27ta22aRaC4R8agG-zF9c9k,Regan Luxcamp by Digihub Hospitality,"Warnasari, Pangalengan, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01138,"Jardin A22, City View, Netflix & WIFI",vacation_rental,-6.8923,107.6049,4.4,4.0,https://www.google.com/maps/search/?api=1&query=Jardin+A22%2C+City+View%2C+Netflix+%26+WIFI+-6.8923%2C107.6049&query_place_id=ChIJiSFHX1nmaC4RNXguzbYLXxc,"Jardin A22, City View, Netflix & WIFI","Cipaganti, Coblong, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01110,Bandung Scenic View W Pool,vacation_rental,-6.8833,107.5812,4.85,3.0,https://www.google.com/maps/search/?api=1&query=Bandung+Scenic+View+W+Pool+-6.8833%2C107.5812&query_place_id=ChIJd_pUoYbmaC4Rcsc8lqH4Dgs,Bandung Scenic View W Pool,"Sukawarna, Sukajadi, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01168,Rarasa by Kozystay - Bandung,vacation_rental,-6.8697,107.6408,4.0,3.0,https://www.google.com/maps/search/?api=1&query=Rarasa+by+Kozystay+-+Bandung+-6.8697%2C107.6408&query_place_id=ChIJa0ssbRTnaC4RrilzEer2RXM,Rarasa by Kozystay - Bandung,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00049,Twelve Stones at Wahoo KBP,vacation_rental,-6.8692,107.4562,4.65,3.0,https://www.google.com/maps/search/?api=1&query=Twelve+Stones+at+Wahoo+KBP+-6.8692%2C107.4562&query_place_id=ChIJAeYt0UH7aC4RlZijI2cndME,Twelve Stones at Wahoo KBP,"Bojonghaleuang, Batujajar, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01125,Delio by Kozystay - Bandung,vacation_rental,-6.9178,107.5813,3.5,2.0,https://www.google.com/maps/search/?api=1&query=Delio+by+Kozystay+-+Bandung+-6.9178%2C107.5813&query_place_id=ChIJNTnrQA_maC4R9WLZ4Vlble8,Delio by Kozystay - Bandung,"Dungus Cariang, Andir, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01116,Cairora by Kozystay - Bandung,vacation_rental,-6.9093,107.6102,4.5,1.0,https://www.google.com/maps/search/?api=1&query=Cairora+by+Kozystay+-+Bandung+-6.9093%2C107.6102&query_place_id=ChIJiT3AjjfmaC4RwWhZcuDmwPI,Cairora by Kozystay - Bandung,"Babakanciamis, Sumurbandung, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01146,Lee Simple House - Summarecon Bandung,vacation_rental,-6.9619,107.6969,3.0,1.0,https://www.google.com/maps/search/?api=1&query=Lee+Simple+House+-+Summarecon+Bandung+-6.9619%2C107.6969&query_place_id=ChIJKcuCbPTCaC4ROjnhKpnFKDo,Lee Simple House - Summarecon Bandung,"Rancabolang, Gedebage, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00069,"Manna Tatami House KBP Bandung near Wahoo, Whoosh & Parahyangan Golf",vacation_rental,-6.8689,107.4568,5.0,1.0,https://www.google.com/maps/search/?api=1&query=Manna+Tatami+House+KBP+Bandung+near+Wahoo%2C+Whoosh+%26+Parahyangan+Golf+-6.8689%2C107.4568&query_place_id=ChIJFWIJxUH7aC4ROKkYZXVhuak,"Manna Tatami House KBP Bandung near Wahoo, Whoosh & Parahyangan Golf","Bojonghaleuang, Batujajar, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00588,Shakilla House 6B Syariah Cigalumpit Cianjur,vacation_rental,-6.8162,107.1714,4.85,1.0,https://www.google.com/maps/search/?api=1&query=Shakilla+House+6B+Blok+J-02+Syariah+Cigalumpit+Cianjur+-6.8162%2C107.1714&query_place_id=ChIJczfAUAtTaC4RD-w94xiWR8o,Shakilla House 6B Blok J-02 Syariah Cigalumpit Cianjur,"Hegarmanah, Karangtengah, Cianjur Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01190,Tanea by Kozystay - Braga,vacation_rental,-6.9167,107.6078,4.5,1.0,https://www.google.com/maps/search/?api=1&query=Tanea+by+Kozystay+-+Braga+-6.9167%2C107.6078&query_place_id=ChIJ30wCwjrmaC4RfSf7_muNeB4,Tanea by Kozystay - Braga,"Braga, Sumurbandung, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00077,"Wasabi House, Kota Baru Parahyangan",vacation_rental,-6.8667,107.4572,5.0,1.0,https://www.google.com/maps/search/?api=1&query=Wasabi+House%2C+Kota+Baru+Parahyangan+-6.8667%2C107.4572&query_place_id=ChIJT0LVGEL7aC4RKGcP9fYmlH8,"Wasabi House, Kota Baru Parahyangan","Bojonghaleuang, Batujajar, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
