review_target_id,penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,review_scrape_priority,data_quality_score,has_final_child_listing,final_child_count,name_looks_detail_listing,target_review_note,google_maps_search_query,google_maps_search_url,source_dataset,flag_group,flag_reason,suggested_action,split_status,split_reason,manual_decision,manual_note
PHREV-20260605-0661,LODGE-00004,Wildan Homestay - Economy Twin Room,guest_house,-6.8018,107.0623,4.8846,13,low_review_confidence,low_review_confidence,0.9,False,0,True,check_name_match_first,"Wildan Homestay - Economy Twin Room -6.8018,107.0623",https://www.google.com/maps/search/?api=1&query=Wildan%20Homestay%20-%20Economy%20Twin%20Room%20-6.8018%2C107.0623,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0441,LODGE-01598,Hannah House - Female Room Only,hotel,-6.8977,107.6175,4.5,2,low_review_confidence,low_review_confidence,0.65,False,0,True,check_name_match_first,"Hannah House - Female Room Only -6.8977,107.6175",https://www.google.com/maps/search/?api=1&query=Hannah%20House%20-%20Female%20Room%20Only%20-6.8977%2C107.6175,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0496,LODGE-01169,RedDoorz @ Buah Batu 3 - Double Room,hotel,-6.9407,107.629,1.5,3,low_review_confidence,low_review_confidence,0.95,False,0,True,check_name_match_first,"RedDoorz @ Buah Batu 3 - Double Room -6.9407,107.629",https://www.google.com/maps/search/?api=1&query=RedDoorz%20%40%20Buah%20Batu%203%20-%20Double%20Room%20-6.9407%2C107.629,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0613,LODGE-01170,RedDoorz @ Kiaracondong - Economy Room (RedDoorz),hotel,-6.9427,107.6416,3.55,8,low_review_confidence,low_review_confidence,0.95,False,0,True,check_name_match_first,"RedDoorz @ Kiaracondong - Economy Room (RedDoorz) -6.9427,107.6416",https://www.google.com/maps/search/?api=1&query=RedDoorz%20%40%20Kiaracondong%20-%20Economy%20Room%20%28RedDoorz%29%20-6.9427%2C107.6416,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0386,LODGE-01175,RedDoorz Plus near Pasundan University - Economy Double Room,hotel,-6.9277,107.6129,1.5,1,low_review_confidence,low_review_confidence,0.95,False,0,True,check_name_match_first,"RedDoorz Plus near Pasundan University - Economy Double Room -6.9277,107.6129",https://www.google.com/maps/search/?api=1&query=RedDoorz%20Plus%20near%20Pasundan%20University%20-%20Economy%20Double%20Room%20-6.9277%2C107.6129,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0387,LODGE-01002,RedDoorz near Farmhouse Lembang - Double Room,hotel,-6.8384,107.5952,4,1,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"RedDoorz near Farmhouse Lembang - Double Room -6.8384,107.5952",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Farmhouse%20Lembang%20-%20Double%20Room%20-6.8384%2C107.5952,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0614,LODGE-01003,RedDoorz near Gedung Sate 2 - RedDoorz Double Room,hotel,-6.8962,107.6197,4.05,8,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"RedDoorz near Gedung Sate 2 - RedDoorz Double Room -6.8962,107.6197",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Gedung%20Sate%202%20-%20RedDoorz%20Double%20Room%20-6.8962%2C107.6197,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0651,LODGE-00520,RedDoorz near Happy Farm Ciwidey - Double Room,hotel,-7.1313,107.4196,5,12,low_review_confidence,low_review_confidence,0.9,False,0,True,check_name_match_first,"RedDoorz near Happy Farm Ciwidey - Double Room -7.1313,107.4196",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Happy%20Farm%20Ciwidey%20-%20Double%20Room%20-7.1313%2C107.4196,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0497,LODGE-01176,RedDoorz near IPDN 2 - Economy Room,hotel,-6.9288,107.7621,2.65,3,low_review_confidence,low_review_confidence,0.95,False,0,True,check_name_match_first,"RedDoorz near IPDN 2 - Economy Room -6.9288,107.7621",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20IPDN%202%20-%20Economy%20Room%20-6.9288%2C107.7621,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0963,LODGE-00615,Arlita Guesthouse - Superior Double Room,guest_house,-6.825,107.1209,,,missing_review_confidence,missing_rating_or_review,0.75,False,0,True,check_name_match_first,"Arlita Guesthouse - Superior Double Room -6.825,107.1209",https://www.google.com/maps/search/?api=1&query=Arlita%20Guesthouse%20-%20Superior%20Double%20Room%20-6.825%2C107.1209,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1093,LODGE-01448,Grania Homestay Syariah 2 - Executive Room,guest_house,-6.974,107.6516,,,missing_review_confidence,missing_rating_or_review,0.8,False,0,True,check_name_match_first,"Grania Homestay Syariah 2 - Executive Room -6.974,107.6516",https://www.google.com/maps/search/?api=1&query=Grania%20Homestay%20Syariah%202%20-%20Executive%20Room%20-6.974%2C107.6516,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1100,LODGE-00639,Guest House Ciwalini - Standard Twin Room,guest_house,-7.1461,107.3853,,,missing_review_confidence,missing_rating_or_review,0.7,False,0,True,check_name_match_first,"Guest House Ciwalini - Standard Twin Room -7.1461,107.3853",https://www.google.com/maps/search/?api=1&query=Guest%20House%20Ciwalini%20-%20Standard%20Twin%20Room%20-7.1461%2C107.3853,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1101,LODGE-00158,Guest House Griya Mas BCI A 39A - Standard Double Room,guest_house,-6.8648,107.5262,,,missing_review_confidence,missing_rating_or_review,0.8,False,0,True,check_name_match_first,"Guest House Griya Mas BCI A 39A - Standard Double Room -6.8648,107.5262",https://www.google.com/maps/search/?api=1&query=Guest%20House%20Griya%20Mas%20BCI%20A%2039A%20-%20Standard%20Double%20Room%20-6.8648%2C107.5262,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1103,LODGE-00106,Guest house premium - Double Room with Balcony,guest_house,-6.9575,107.5702,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"Guest house premium - Double Room with Balcony -6.9575,107.5702",https://www.google.com/maps/search/?api=1&query=Guest%20house%20premium%20-%20Double%20Room%20with%20Balcony%20-6.9575%2C107.5702,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1112,LODGE-00297,Hens Guesthouse Syariah - Deluxe Double Room,guest_house,-6.8823,107.5316,,,missing_review_confidence,missing_rating_or_review,0.65,False,0,True,check_name_match_first,"Hens Guesthouse Syariah - Deluxe Double Room -6.8823,107.5316",https://www.google.com/maps/search/?api=1&query=Hens%20Guesthouse%20Syariah%20-%20Deluxe%20Double%20Room%20-6.8823%2C107.5316,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
