penginapan_id,name,property_type,latitude,longitude,distance_km_reference,hotel_recommendation_score,hotel_distance_score,hotel_rating_score,hotel_sentiment_ranking_score,hotel_price_score,hotel_data_quality_score,hotel_review_confidence_score,overall_rating,reviews,price_lowest,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label
LODGE-00877,Bobobox Pods Alun Alun,hotel,-6.9233,107.6047,1.7153965433456735,74.42509512695179,0.7445576694878175,0.9400000000000001,0.5,1.0,1.0,0.0,4.7,1243.0,159416.0,0,,Belum tersedia,missing_review_confidence
LODGE-00966,Noor Hotel,hotel,-6.907,107.6192,1.1676005244008505,74.31416808175425,0.810688043140687,0.9199999999999999,0.5,0.6970229044914811,1.0,0.0,4.6,2145.0,838057.0,0,,Belum tersedia,missing_review_confidence
LODGE-00908,Gino Feruci Braga Hotel,hotel,-6.9178,107.6091,1.1043600513100822,74.2559036304069,0.8190866786972909,0.86,0.5,0.7685558987809793,1.0,0.0,4.3,6214.0,678699.0,0,,Belum tersedia,missing_review_confidence
LODGE-00959,Mercure Bandung City Centre,hotel,-6.9238,107.6114,1.1014442186868463,74.21717483241072,0.8194781138351701,0.9,0.5,0.6822955233142314,1.0,0.0,4.5,8762.0,870866.0,0,,Belum tersedia,missing_review_confidence
LODGE-00947,Janévalla Bandung,hotel,-6.9095,107.6115,1.222757186419748,74.20790604565713,0.803502346341227,0.9199999999999999,0.5,0.7211444955891025,1.0,0.0,4.6,5706.0,784320.0,0,,Belum tersedia,missing_review_confidence
LODGE-01223,Asoka Hotel Bandung,hotel,-6.928,107.6128,1.3589630859564221,74.07197485723566,0.7862917164973562,0.86,0.5,0.98987195720607,0.9,0.0,4.3,417.0,185661.0,0,,Belum tersedia,missing_review_confidence
LODGE-01200,Urbanview Hotel Newton Riau Bandung,hotel,-6.9148,107.6299,1.2293907283839707,74.00601944407519,0.8026467142633547,0.82,0.5,0.9418797002471367,0.95,0.0,4.1,2184.0,292576.0,0,,Belum tersedia,missing_review_confidence
LODGE-01092,favehotel Braga Bandung,hotel,-6.9171,107.6084,1.1819640871094776,73.98013179686582,0.8088044397452764,0.8800000000000001,0.5,0.7493257787031539,1.0,0.0,4.4,7378.0,721539.0,0,,Belum tersedia,missing_review_confidence
LODGE-00864,Aryaduta Bandung,hotel,-6.9093,107.6119,1.2095699716412014,73.96530803660998,0.8052087379375307,0.9199999999999999,0.5,0.6856572032690128,1.0,0.0,4.6,9892.0,863377.0,0,,Belum tersedia,missing_review_confidence
LODGE-00879,"Bobopod Dago, Bandung",hotel,-6.9024,107.613,1.8090363471652393,73.95358617675657,0.7343183007213079,0.9400000000000001,0.5,0.9988069604775246,1.0,0.0,4.7,1010.0,165756.0,0,,Belum tersedia,missing_review_confidence
LODGE-01075,Vasaka Maison Bandung,hotel,-6.9207,107.6071,1.3715821969174646,73.94828131610349,0.7847344420070373,0.9199999999999999,0.5,0.7861368250874244,1.0,0.0,4.6,1681.0,639533.0,0,,Belum tersedia,missing_review_confidence
LODGE-01262,Hotel Astria Graha,hotel,-6.9233,107.6104,1.1568090759230012,73.88490454802174,0.8121089899560386,0.78,0.5,1.0,0.9,0.0,3.9,1119.0,134763.0,0,,Belum tersedia,missing_review_confidence
LODGE-01403,The Summit Siliwangi Hotel,hotel,-6.9077,107.6129,1.28680711401578,73.83735359040149,0.7953162725245733,0.86,0.5,0.9575690363106324,0.85,0.0,4.3,1154.0,257624.0,0,,Belum tersedia,missing_review_confidence
LODGE-01039,Serela Riau Hotel,hotel,-6.9061,107.6199,1.2706962545970537,73.82658944940832,0.797359622758716,0.8,0.5,0.9494896028073462,1.0,0.0,4.0,3050.0,275623.0,0,,Belum tersedia,missing_review_confidence
LODGE-01250,Gandasari Hotel,hotel,-6.908,107.613,1.2527149909215176,73.77358411227495,0.7996526320581752,0.82,0.5,0.9699128521841179,0.9,0.0,4.1,839.0,230125.0,0,,Belum tersedia,missing_review_confidence
LODGE-01228,Best Location 2Br At Braga City Walk Apartment,apartment,-6.92,107.6101,1.0316279426131034,73.6822334222826,0.8289635978166505,0.9,0.5,0.6532079467259241,0.9,0.0,4.5,2.0,935666.0,0,,Belum tersedia,missing_review_confidence
LODGE-01269,Hotel Narapati Indah Syariah,hotel,-6.9276,107.6272,1.4355232772003859,73.65727721600453,0.7769375984877372,0.86,0.5,0.9905650315618162,0.9,0.0,4.3,601.0,184117.0,0,,Belum tersedia,missing_review_confidence
LODGE-01363,Guest House Rumah Tawa Syariah 1,guest_house,-6.9297,107.6224,1.4046353127032971,73.46180794423896,0.7806845754484618,0.86,0.5,0.9890002276731303,0.85,0.0,4.3,143.0,187603.0,0,,Belum tersedia,missing_review_confidence
LODGE-01306,RedDoorz Plus near Asia Afrika 3,hotel,-6.9236,107.6098,1.230424142236302,73.42770163877857,0.8025135826796758,0.8,0.5,0.957176713132574,0.9,0.0,4.0,683.0,258498.0,0,,Belum tersedia,missing_review_confidence
LODGE-01315,Skara by Kozystay - Bandung,vacation_rental,-6.9093,107.6102,1.3403613356267208,73.38743131204383,0.7885985885228367,0.9880000000000001,0.5,0.6462772031684632,0.9,0.0,4.94,17.0,951106.0,0,,Belum tersedia,missing_review_confidence
LODGE-00857,Amaris Hotel Cimanuk,hotel,-6.9044,107.6207,1.467324039291107,73.34714397334625,0.7731172846177748,0.86,0.5,0.8974295739495974,1.0,0.0,4.3,1945.0,391600.0,0,,Belum tersedia,missing_review_confidence
LODGE-01322,The Jarrdin Apartment Hotels by Ironman,apartment,-6.8923,107.605,3.2053831880838803,73.3407289591172,0.6093560636218867,0.8400000000000001,0.7533069503280577,0.9524311288780742,0.9,0.774982946196141,4.2,236.0,269070.0,16,0.5066139006561154,Positif,high_review_confidence
LODGE-01275,Ivory Hotel Bandung,hotel,-6.905,107.614,1.4996229669665906,73.27791062827586,0.7692753911129597,0.9199999999999999,0.5,0.8667242253547428,0.9,0.0,4.6,2532.0,460004.0,0,,Belum tersedia,missing_review_confidence
LODGE-01031,SURIA CITY HOTEL SYARIAH,hotel,-6.93,107.6266,1.6178122994755684,73.2707797725929,0.7555366900321768,0.86,0.5,0.9768476356827717,1.0,0.0,4.3,457.0,214676.0,0,,Belum tersedia,missing_review_confidence
LODGE-00901,Elephant Eleven Residence Buah Batu Kota Bandung,hotel,-6.9334,107.6217,1.7911443389942012,73.25704828579774,0.7362529421279421,0.9,0.5,0.9917406544489269,1.0,0.0,4.5,86.0,181498.0,0,,Belum tersedia,missing_review_confidence
LODGE-01119,Collection O Riau Near Trans Studio Bandung Formerly Asteria Hotel,apartment,-6.9281,107.6214,1.2057010644899082,73.25496964349811,0.8057107405013211,0.76,0.5,0.9631095912154083,0.95,0.0,3.8,377.0,245281.0,0,,Belum tersedia,missing_review_confidence
LODGE-00882,Buminanienie Family Guest House,guest_house,-6.9045,107.6144,1.5358217048317078,73.18566369790432,0.765014748842318,0.82,0.5,1.0,1.0,0.0,4.1,172.0,160840.0,0,,Belum tersedia,missing_review_confidence
LODGE-01309,RedDoorz near Trans Studio Mall 2 - Deluxe Room,apartment,-6.9313,107.6244,1.642233971629377,73.15133143137815,0.7527587888888341,0.9,0.5,0.9752428812645124,0.9,0.0,4.5,16.0,218251.0,0,,Belum tersedia,missing_review_confidence
LODGE-00876,Best Western Premier La Grande,hotel,-6.9093,107.6099,1.3648201932422317,72.97069410037189,0.7855681461840333,0.9199999999999999,0.5,0.6733475024544888,1.0,0.0,4.6,8923.0,890800.0,0,,Belum tersedia,missing_review_confidence
LODGE-01564,Airy Veteran 30 Bandung,hotel,-6.9192,107.615,0.4904711223596625,72.96008986582208,0.9106686636849352,0.86,0.5,0.4,0.7,0.0,4.3,127.0,,0,,Belum tersedia,missing_review_confidence
LODGE-01616,Ibis Bandung Trans Studio Hotel,apartment,-6.9273,107.6364,2.1986909828615073,72.8830648391272,0.6945707229139152,0.9,0.8265629180254823,0.4,0.6,0.8804751239186578,4.5,14489.0,,24,0.6531258360509645,Positif,high_review_confidence
LODGE-01082,"Vue Palace, ARTOTEL Curated",hotel,-6.913,107.6051,1.6243949653103178,72.81162214503428,0.754785912703467,0.8800000000000001,0.5,0.8895840081531401,1.0,0.0,4.4,3423.0,409078.0,0,,Belum tersedia,missing_review_confidence
LODGE-01134,Hotel O Cihampelas Near Ciwalk Formerly D'River Guest House,guest_house,-6.8862,107.6043,3.8447890805461995,72.80711138107115,0.5653046052841806,0.8400000000000001,0.7903612142826534,0.9765230937402817,0.95,0.8327833742196082,4.2,346.0,215399.0,20,0.5807224285653068,Positif,high_review_confidence
LODGE-00928,Hotel Bumi Asih Gedung Sate Bandung,hotel,-6.9033,107.6167,1.6010416478903682,72.77447753018866,0.7574562117174269,0.86,0.5,0.9121053336560498,1.0,0.0,4.3,904.0,358906.0,0,,Belum tersedia,missing_review_confidence
LODGE-00909,Golden Flower Hotel,hotel,-6.9204,107.6049,1.6002970524189624,72.7287527227648,0.7575416621843611,0.86,0.5,0.9065975471631713,1.0,0.0,4.3,7134.0,371176.0,0,,Belum tersedia,missing_review_confidence
LODGE-00941,Hotel Sebelas @ Jalan Palasari Mitra RedDoorz,hotel,-6.9305,107.6223,1.4880676474241696,72.71904655546051,0.7706454790102338,0.78,0.5,1.0,1.0,0.0,3.9,184.0,98113.0,0,,Belum tersedia,missing_review_confidence
LODGE-01190,Tanea by Kozystay - Braga,vacation_rental,-6.9167,107.6078,1.2505268190630034,72.60196866157511,0.7999325728434413,0.9,0.5,0.6394447648466943,0.95,0.0,4.5,1.0,966327.0,0,,Belum tersedia,missing_review_confidence
