priority,penginapan_id,name,finding_codes,finding_count,recommended_next_step
P1,LODGE-00655,Villa Nadiviya - One-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00656,Villa Nadiviya - One-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00657,Villa Nadiviya - Three-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00658,Villa Nadiviya - Two-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00659,Villa Sunda Ciwidey - Three-Bedroom House,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00681,Ciwidey Hills Wetland Deluxe 1 - One-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00682,Ciwidey Hills Wetland Family 1 - One-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00688,Deluxe Cabin with Lake/Mountain View in Ciwidey,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00689,Desaku Indah Home-Stay,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00690,Desaku Indah Home-Stay,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00691,Family Cabin with Lake/Mountain View in Ciwidey,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00713,Riverside cabin - Two-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00717,Shakilla House 6A Syariah Cigalumpit Cianjur,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00718,Shakilla House 6A Syariah Cigalumpit Cianjur,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00720,Shakilla House 6B Syariah Cigalumpit Cianjur,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00726,Suka Rasa Endah Cottage,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00731,Vedca Asrama Cianjur RedPartner - Economy Twin Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00732,Vedca Cottage Cianjur - Family Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00743,Villa Haposan - Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00748,Villa Sunda Ciwidey - Three-Bedroom House,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00756,Villa puncak bogor at kota bunga with pool privat,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00757,Villa puncak bogor at kota bunga with pool privat,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00758,Wulandari Camp Riverside - Tent,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00759,Wulandari Riverside - Tent,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00764,family room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00775,Kampung Panorama - Family Room with Lake View,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00790,Wulandari Camp Riverside - Tent,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00791,Wulandari Riverside - Tent,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00796,Kuleum Camp And Cabin By ARBA,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00797,OZ Cabin by Farmstay Managel,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00798,Penginapan atau Kontrakan Rumah Ciwidey 1 Ruangan 2 Kasur Dewasa Kamar Mandi Dapur Dalam Sewa Harian Mingguan Bulanan Tahunan Boleh - Double Room with Private Bathroom,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00799,Regan Luxcamp by Digihub Hospitality,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00801,Shine River Ciwidey,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00805,Villa Situ Patenggang BKSDA,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00812,Villa Feridys,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00817,Villa Situ Patenggang Bksda,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00829,RedDoorz Resort Syariah @ Batu Apung Purwakarta - Family Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00831,RedDoorz Resort Syariah @ Jaya Tirta Abadi - Standard Double Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00834,Villa Lembang Bunda - Deluxe Triple Room,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00835,Villa Lembang Bunda - Standard Single Room,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00845,Villa Refa-1 Cihanjawar - One-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00847,Villa Refa-1 Cihanjawar - One-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00853,ARTOTEL Suites Aquila Bandung,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00873,Bantal Guling Trans - Standard Double Room with Fan,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00896,Cozy Room @ Hallo Tidur by Tio,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00903,Family Room Gezonder Antapani - Family Room with Balcony,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00905,G10 Guest House Near Asia Afrika Bandung,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00922,HARRIS Hotel & Conventions Festival Citylink Bandung,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00926,Holiday Inn Bandung Pasteur,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00938,Hotel Santika Pasir Koja,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00962,Moment Villa - Deluxe Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00963,Moment Villa - Three-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00965,No303 - Economy Double Room,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00998,RedDoorz Syariah near BTC Fashion Mall - Standard Double Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-01012,RedDoorz near Taman Makam Pahlawan Cikutra - Deluxe Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-01023,Ronia Mountain Villa Lembang - Family Room with Garden View,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01043,Summer Hills Hotel & Villas Bandung,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01057,The Suites Metro Apartment - King Property,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01058,The Trans Luxury Hotel,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01061,Tulip Guest House - Deluxe Double Room,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01062,Tulip Guest House - Superior Twin Room,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01091,de Java Hotel,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01121,Cove Horizone - Deluxe Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-01126,G10 Guest House Near Asia Afrika Bandung - Deluxe Single Room,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
