scope,penginapan_id,name,property_type,priority,latitude,longitude,fixed_search_query
all_237,LODGE-00275,Amazing Comfy House in Bandung,vacation_rental,P1_core_rating_price_missing,-6.8647,107.4558,Amazing Comfy House in Bandung Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00670,Aqilla Shakilla House 3 Syariah Limbanagnsari,vacation_rental,P1_core_rating_price_missing,-6.8235,107.1219,Aqilla Shakilla House 3 Syariah Limbanagnsari Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00671,Argapuri Resort,vacation_rental,P1_core_rating_price_missing,-7.1128,107.4585,Argapuri Resort Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00672,Arjuna,vacation_rental,P1_core_rating_price_missing,-7.1113,107.4968,Arjuna Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00673,Arjuna cottage rafting - Tent,vacation_rental,P1_core_rating_price_missing,-7.1897,107.5519,Arjuna cottage rafting - Tent Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00281,Azalea 1 - Private Glamping,vacation_rental,P1_core_rating_price_missing,-6.8042,107.5481,Azalea 1 - Private Glamping Bandung Jawa Barat Indonesia
all_237,LODGE-00675,Bima,vacation_rental,P1_core_rating_price_missing,-7.1113,107.4969,Bima Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00676,Bisma,vacation_rental,P1_core_rating_price_missing,-7.1114,107.4968,Bisma Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00283,Bumi Castle Luxury Living di Kota Baru Parahyangan,vacation_rental,P1_core_rating_price_missing,-6.8678,107.4542,Bumi Castle Luxury Living di Kota Baru Parahyangan Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00677,Cabin 97,vacation_rental,P1_core_rating_price_missing,-7.0877,107.4778,Cabin 97 Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00678,Camping Pines singkur reverside - Tent,vacation_rental,P1_core_rating_price_missing,-7.1854,107.5475,Camping Pines singkur reverside - Tent Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00680,Cibodas Get Away in West Java,vacation_rental,P1_core_rating_price_missing,-6.84,107.1601,Cibodas Get Away in West Java Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00013,Cozy tropical houses with humble neighbourhood,vacation_rental,P1_core_rating_price_missing,-6.57,107.4483,Cozy tropical houses with humble neighbourhood Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00288,D'Gloria Glamping,vacation_rental,P1_core_rating_price_missing,-6.8036,107.5482,D'Gloria Glamping Bandung Jawa Barat Indonesia
all_237,LODGE-00289,Davion House near IKEA KBP by YourHome,vacation_rental,P1_core_rating_price_missing,-6.857,107.4904,Davion House near IKEA KBP by YourHome Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00290,Dayang Arum Glamping,vacation_rental,P1_core_rating_price_missing,-6.8035,107.5484,Dayang Arum Glamping Bandung Jawa Barat Indonesia
all_237,LODGE-00292,Dayang Rengganis Dome 2,vacation_rental,P1_core_rating_price_missing,-6.8035,107.5479,Dayang Rengganis Dome 2 Bandung Jawa Barat Indonesia
all_237,LODGE-00691,Family Cabin with Lake/Mountain View in Ciwidey,vacation_rental,P1_core_rating_price_missing,-7.1397,107.3909,Family Cabin with Lake/Mountain View in Ciwidey Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00293,"Family Staycation, Near Lembang With Complete Facilities",vacation_rental,P1_core_rating_price_missing,-6.8386,107.5518,"Family Staycation, Near Lembang With Complete Facilities Lembang Kabupaten Bandung Barat Jawa Barat Indonesia"
all_237,LODGE-00694,Glamping [Sunrise] - 2 : Argapuri Jungle Resort,vacation_rental,P1_core_rating_price_missing,-7.126,107.5131,Glamping [Sunrise] - 2 : Argapuri Jungle Resort Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00295,Glamping triangle riyadhi 2,vacation_rental,P1_core_rating_price_missing,-6.8035,107.5481,Glamping triangle riyadhi 2 Bandung Jawa Barat Indonesia
all_237,LODGE-00695,"Good places, service, good view. Perfect choices.",vacation_rental,P1_core_rating_price_missing,-7.1324,107.4183,"Good places, service, good view. Perfect choices. Ciwidey Kabupaten Bandung Jawa Barat Indonesia"
all_237,LODGE-00296,Hanara Private Glamping,vacation_rental,P1_core_rating_price_missing,-6.8045,107.5487,Hanara Private Glamping Bandung Jawa Barat Indonesia
all_237,LODGE-00299,Keyla Private Dome,vacation_rental,P1_core_rating_price_missing,-6.8036,107.5482,Keyla Private Dome Bandung Jawa Barat Indonesia
all_237,LODGE-00700,Khaira Shakilla House 3 Syariah Limbangansari,vacation_rental,P1_core_rating_price_missing,-6.8235,107.1219,Khaira Shakilla House 3 Syariah Limbangansari Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00701,Kota Bunga A,vacation_rental,P1_core_rating_price_missing,-6.8118,107.1454,Kota Bunga A Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00300,Kusumanagara Dome1,vacation_rental,P1_core_rating_price_missing,-6.8044,107.5484,Kusumanagara Dome1 Bandung Jawa Barat Indonesia
all_237,LODGE-00301,Liorasuite Japandi house with Jacuzzi in KBP,vacation_rental,P1_core_rating_price_missing,-6.8752,107.4701,Liorasuite Japandi house with Jacuzzi in KBP Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
