review_target_id,penginapan_id,name,property_type,review_scrape_priority,review_confidence_label,google_maps_search_query,google_maps_search_url
PHREV-20260605-1411,LODGE-00738,Villa CHW Standar 2,villa,missing_rating_or_review,missing_review_confidence,"Villa CHW Standar 2 -7.1215,107.4216",https://www.google.com/maps/search/?api=1&query=Villa%20CHW%20Standar%202%20-7.1215%2C107.4216
PHREV-20260605-0469,LODGE-00075,Villa Camp Forest by Little Bnb,villa,low_review_confidence,low_review_confidence,"Villa Camp Forest by Little Bnb -6.8641,107.4574",https://www.google.com/maps/search/?api=1&query=Villa%20Camp%20Forest%20by%20Little%20Bnb%20-6.8641%2C107.4574
PHREV-20260605-1413,LODGE-00480,Villa Cempaka Pangalengan,villa,missing_rating_or_review,missing_review_confidence,"Villa Cempaka Pangalengan -7.1878,107.6087",https://www.google.com/maps/search/?api=1&query=Villa%20Cempaka%20Pangalengan%20-7.1878%2C107.6087
PHREV-20260605-1414,LODGE-00739,Villa Ciwidey - Rumah Kayu,villa,missing_rating_or_review,missing_review_confidence,"Villa Ciwidey - Rumah Kayu -7.1085,107.4258",https://www.google.com/maps/search/?api=1&query=Villa%20Ciwidey%20-%20Rumah%20Kayu%20-7.1085%2C107.4258
PHREV-20260605-1415,LODGE-00740,Villa Ciwidey - Rumah Kayu,villa,missing_rating_or_review,missing_review_confidence,"Villa Ciwidey - Rumah Kayu -7.1081,107.4257",https://www.google.com/maps/search/?api=1&query=Villa%20Ciwidey%20-%20Rumah%20Kayu%20-7.1081%2C107.4257
PHREV-20260605-0721,LODGE-00522,Villa Daffa Ciwidey,villa,medium_review_confidence,medium_review_confidence,"Villa Daffa Ciwidey -7.1036,107.4534",https://www.google.com/maps/search/?api=1&query=Villa%20Daffa%20Ciwidey%20-7.1036%2C107.4534
PHREV-20260605-1417,LODGE-00600,Villa Daffa Ciwidey - for family events leisures,villa,missing_rating_or_review,missing_review_confidence,"Villa Daffa Ciwidey - for family events leisures -7.0849,107.4461",https://www.google.com/maps/search/?api=1&query=Villa%20Daffa%20Ciwidey%20-%20for%20family%20events%20leisures%20-7.0849%2C107.4461
PHREV-20260605-0505,LODGE-01332,Villa Daun at Dago Village - Villa with Private Pool,villa,,,"Villa Daun at Dago Village - Villa with Private Pool -6.8548,107.6494",https://www.google.com/maps/search/?api=1&query=Villa%20Daun%20at%20Dago%20Village%20-%20Villa%20with%20Private%20Pool%20-6.8548%2C107.6494
PHREV-20260605-1418,LODGE-00329,Villa Domus SanctuaryofSerenity,villa,missing_rating_or_review,missing_review_confidence,"Villa Domus SanctuaryofSerenity -6.8752,107.4707",https://www.google.com/maps/search/?api=1&query=Villa%20Domus%20SanctuaryofSerenity%20-6.8752%2C107.4707
PHREV-20260605-1420,LODGE-00789,"Villa Elan Argapuri, Gambung - Villa",villa,,,"Villa Elan Argapuri, Gambung - Villa -7.131,107.5132",https://www.google.com/maps/search/?api=1&query=Villa%20Elan%20Argapuri%2C%20Gambung%20-%20Villa%20-7.131%2C107.5132
PHREV-20260605-1421,LODGE-00183,Villa Family House Cimahi,villa,missing_rating_or_review,missing_review_confidence,"Villa Family House Cimahi -6.8448,107.5453",https://www.google.com/maps/search/?api=1&query=Villa%20Family%20House%20Cimahi%20-6.8448%2C107.5453
PHREV-20260605-1422,LODGE-00629,Villa Feridys,villa,missing_rating_or_review,missing_review_confidence,"Villa Feridys -7.0896,107.5548",https://www.google.com/maps/search/?api=1&query=Villa%20Feridys%20-7.0896%2C107.5548
PHREV-20260605-1423,LODGE-00741,Villa Feridys,villa,missing_rating_or_review,missing_review_confidence,"Villa Feridys -7.0895,107.5547",https://www.google.com/maps/search/?api=1&query=Villa%20Feridys%20-7.0895%2C107.5547
PHREV-20260605-1424,LODGE-00601,Villa Haposan,villa,missing_rating_or_review,missing_review_confidence,"Villa Haposan -7.1229,107.4329",https://www.google.com/maps/search/?api=1&query=Villa%20Haposan%20-7.1229%2C107.4329
PHREV-20260605-1425,LODGE-00742,Villa Haposan,villa,missing_rating_or_review,missing_review_confidence,"Villa Haposan -7.1352,107.4072",https://www.google.com/maps/search/?api=1&query=Villa%20Haposan%20-7.1352%2C107.4072
PHREV-20260605-1427,LODGE-00744,Villa Imah Koneng at Cipanas Puncak,villa,missing_rating_or_review,missing_review_confidence,"Villa Imah Koneng at Cipanas Puncak -6.8118,107.1454",https://www.google.com/maps/search/?api=1&query=Villa%20Imah%20Koneng%20at%20Cipanas%20Puncak%20-6.8118%2C107.1454
PHREV-20260605-1428,LODGE-00184,Villa Kahuripan Triangle,villa,missing_rating_or_review,missing_review_confidence,"Villa Kahuripan Triangle -6.8036,107.5482",https://www.google.com/maps/search/?api=1&query=Villa%20Kahuripan%20Triangle%20-6.8036%2C107.5482
PHREV-20260605-0784,LODGE-00602,Villa Kampung Karuhun Sutan Raja,villa,medium_review_confidence,medium_review_confidence,"Villa Kampung Karuhun Sutan Raja -7.1095,107.4939",https://www.google.com/maps/search/?api=1&query=Villa%20Kampung%20Karuhun%20Sutan%20Raja%20-7.1095%2C107.4939
PHREV-20260605-0796,LODGE-00524,Villa Kayu Ciwidey,villa,medium_review_confidence,medium_review_confidence,"Villa Kayu Ciwidey -7.1118,107.4237",https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey%20-7.1118%2C107.4237
PHREV-20260605-1430,LODGE-00745,Villa Kayu Ciwidey,villa,missing_rating_or_review,missing_review_confidence,"Villa Kayu Ciwidey -7.1117,107.4235",https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey%20-7.1117%2C107.4235
