scope,penginapan_id,name,property_type,priority,latitude,longitude,search_query
all_237,LODGE-00804,Villa Ravani Bandung,villa,P1_core_rating_price_missing,-6.9951,107.5191,"Villa Ravani Bandung -6.99510,107.51910"
all_237,LODGE-00807,villa Camsal Boock H 10 No3,villa,P1_core_rating_price_missing,-6.813,107.1296,"villa Camsal Boock H 10 No3 -6.81300,107.12960"
all_237,LODGE-00811,Villa Argapuri Resort K.10,villa,P1_core_rating_price_missing,-7.1307,107.5121,"Villa Argapuri Resort K.10 -7.13070,107.51210"
all_237,LODGE-00813,Villa rian,villa,P1_core_rating_price_missing,-7.131,107.5132,"Villa rian -7.13100,107.51320"
all_237,LODGE-00634,Camping hutan pinus rahong - Tent,vacation_rental,P1_core_rating_price_missing,-7.1821,107.5449,"Camping hutan pinus rahong - Tent -7.18210,107.54490"
all_237,LODGE-00635,Camping hutan pinus singkur rahong - Tent,vacation_rental,P1_core_rating_price_missing,-7.1848,107.5474,"Camping hutan pinus singkur rahong - Tent -7.18480,107.54740"
all_237,LODGE-00233,Kawoeng kabin - Tent,vacation_rental,P1_core_rating_price_missing,-6.804,107.5492,"Kawoeng kabin - Tent -6.80400,107.54920"
all_237,LODGE-00642,Mala Green Camp - Tent,vacation_rental,P1_core_rating_price_missing,-7.1659,107.5241,"Mala Green Camp - Tent -7.16590,107.52410"
all_237,LODGE-00647,SHAKILLA HOUSE 4 PESONA SYARIAH CIANJUR,vacation_rental,P1_core_rating_price_missing,-6.8337,107.114,"SHAKILLA HOUSE 4 PESONA SYARIAH CIANJUR -6.83370,107.11400"
all_237,LODGE-00660,Wulandari Camping ground Riverside - Tent,vacation_rental,P1_core_rating_price_missing,-7.1834,107.5454,"Wulandari Camping ground Riverside - Tent -7.18340,107.54540"
all_237,LODGE-00663,ALI1 Pondok Orange 1 Ciwidey,vacation_rental,P1_core_rating_price_missing,-7.1462,107.3891,"ALI1 Pondok Orange 1 Ciwidey -7.14620,107.38910"
all_237,LODGE-00664,ALIFA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR,vacation_rental,P1_core_rating_price_missing,-6.8236,107.1221,"ALIFA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR -6.82360,107.12210"
all_237,LODGE-00665,ALLIKA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR,vacation_rental,P1_core_rating_price_missing,-6.8235,107.1219,"ALLIKA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR -6.82350,107.12190"
all_237,LODGE-00273,Ace Inn at KBP near IKEA Wahoo Yogya Junction KBP,vacation_rental,P1_core_rating_price_missing,-6.8659,107.4565,"Ace Inn at KBP near IKEA Wahoo Yogya Junction KBP -6.86590,107.45650"
all_237,LODGE-00274,Aira Glamping,vacation_rental,P1_core_rating_price_missing,-6.8036,107.5482,"Aira Glamping -6.80360,107.54820"
