location_name,sebelumnya,sekarang,tambahan_didapat
Floating Market Lembang,14,55,41
D’Dieuland,15,55,40
Noah's Park | Wisata Lembang Bandung,11,56,45
Sanghyang Tikoro,11,56,45
Glamping Legok Kondang Lodge,15,56,41
Wisata Tanjung Duriat,15,56,41
Gunung Batu Lembang,15,56,41
Sanghyang Kenit,16,56,40
Curug Pelangi,17,56,39
Bosscha,17,57,40
Curug Layung & Camping Ground,17,57,40
Indiana Camp,16,57,41
Gn. Tangkuban Parahu,16,57,41
Masjid Agung SUMEDANG,58,58,0
Sanghyang Heuleut,15,58,43
Taman EcoWisata Cimenteng,15,58,43
Rumah Guguk Petshop,11,59,48
TOGA HILL,16,59,43
Panenjoan Jatigede,15,61,46
Gn. Bohong,14,62,48
Victory Waterpark,17,64,47
Bumi Perkemahan Ranca Upas Bandung,67,67,0
Punclut cafe lereng,68,67,-1
Bandung Carnival Land,88,88,0
Sunrise Point Cukul,94,94,0
