id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,category_official,location_name,address,coordinate,tahun,latitude,longitude
121,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,BOOM STOCK,JL. CIHAMPELAS NO. 144,"-6.894536944826362, 107.60403503222562",2021,-6.894536944826362,107.60403503222562
122,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,BANDUNG ORIGINAL MERCHANDISE,JL. CIHAMPLES NO. 210,"-6.889212373123292, 107.60439439658299",2021,-6.889212373123292,107.60439439658299
123,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,PERSIB MERCHANDISE STORE,JL. SULANJANA NO. 17,"-6.8981591543338645, 107.61005918538048",2021,-6.8981591543338645,107.61005918538048
124,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,ELMEIRA HIJAB,JL. PROGO NO. 3,"-6.90249620083983, 107.61705736316036",2021,-6.90249620083983,107.61705736316036
125,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TOKO TIGA,JL. JEND. AHMAD YANI,"-6.91954844923399, 107.62110800602044",2021,-6.91954844923399,107.62110800602044
126,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TWIG HOUSE,JL. SUKAJADI NO. 127,"-6.889809921568851, 107.59668819521805",2021,-6.889809921568851,107.59668819521805
127,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,OUTLET@251 - S.OLIVER,JL. RAYA PAJAJARAN NO. 27,"-6.570326471881416, 106.80866969848154",2021,-6.570326471881416,106.80866969848154
128,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TOKO SEPATU BATA,JL. RAYA BOJONGSOANG NO. 67,"-6.980270511895414, 107.63344458073257",2021,-6.980270511895414,107.63344458073257
129,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TOKO TAS ELIZABETH OTISTA,JL. OTTO ISKANDAR DINATA NO. 520,"-6.930504903131708, 107.60327406536369",2021,-6.930504903131708,107.60327406536369
130,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,UNIVERSAL FOOTWEAR,JL. CIKONENG NO. 46,"-6.983099913512733, 107.64128579399383",2021,-6.983099913512733,107.64128579399383
131,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,SILIWANGI,JL. JEND. AHMAD YANI 203,"-6.918466165064204, 107.624137627217",2021,-6.918466165064204,107.624137627217
